Co. Corp TKR,Total,Banks,Financial Services,Diversified Banks,Consumer Finance,Utilities,Real Estate,Supranationals,Industrial Other,Commercial Finance,Government Development Banks,Consumer Services,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Food & Beverage,Life Insurance,Metals & Mining,Machinery Manufacturing,Wireless Telecommunications Services,Electrical Equipment Manufacturing,Exploration & Production,Property & Casualty Insurance,Software & Services,Health Care Facilities & Services,Retail - Consumer Discretionary,Travel & Lodging,Pipeline,Pharmaceuticals,Wireline Telecommunications Services,Integrated Oils,Construction Materials Manufacturing,Hardware,Airlines,Coal Operations,Homebuilders,Oil & Gas Services & Equipment,Supermarkets & Pharmacies,Railroad,Auto Parts Manufacturing,Others,<blank>
Total,3.30148E+13,8.53826E+12,2.60977E+12,2.20015E+12,1.63331E+12,1.35392E+12,1.06168E+12,1.48278E+12,7.47894E+11,3.82016E+11,9.40591E+11,1.38084E+11,6.74802E+11,4.50036E+11,5.66204E+11,3.87219E+11,5.80791E+11,4.31125E+11,4.45805E+11,1.60748E+11,6.15379E+11,2.20734E+11,3.67477E+11,2.75051E+11,3.52788E+11,1.97133E+11,2.26319E+11,1.50474E+11,3.35482E+11,4.08424E+11,3.11882E+11,6.78723E+11,1.39329E+11,1.4381E+11,1.13562E+11,1.5071E+11,61958473580,1.17108E+11,1.89326E+11,1.40141E+11,94533103861,2.93923E+12,15117972
TOTAL,50002450290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50002450290,,,,,,,,,,,
ZZYTBC,159485000,,,,,,,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZYNLN,454157570,,454157570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXZID,127588000,,127588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXLSI,159485000,,,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZXCAD,159323500,,,,,,,,159323500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZTRAN,828740600,,,,,,,,,,,,,,,,,,,828740600,,,,,,,,,,,,,,,,,,,,,,,
ZZSOAI,1274911000,,1274911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZREAL,796617500,,,,,,796617500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZRCBK,111591050,111591050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZNLSA,31897000,,,,,,,,31897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZNDCI,318324000,,,,,,,,318324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZMZDI,363625800,,,,,,,,363625800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZLXCD,190994400,,,,,,,,190994400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZJKCI,119613750,,119613750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZJIAO,79581000,,,,,,,,79581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHTSA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHTAI,47845500,,,,,,,,,,,47845500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHQYF,39871250,,39871250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHINV,194339140,,194339140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHEGE,63729400,,,,,63729400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZHCIN,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZGKCE,19099440,,,,,,,,19099440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZERQI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZEDIG,159323500,,159323500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZECDV,95497200,,,,,,95497200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZCOAL,318324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318324000,,,,,,,
ZZCLEL,31897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31897000,,,,,,,
ZZCITY,2195868900,,,,,,,,2195868900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZAIRI,549108900,,,,,,,,549108900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYXJIC,175078200,,175078200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYWATE,474916460,,474916460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYTOUR,529581000,,,,,,,,529581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYRTGC,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79742500,
ZYRDBG,1879875950,,,,,,,,1879875950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYNZCN,79742500,,,,,,,,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYLSTR,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYINGD,159162000,,,,,,,,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYHIGH,239227500,,,,,,,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYHCIM,190994400,,190994400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYFZHW,47845500,,,,,,,,47845500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYFDC,955618000,,,,,,955618000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYEXPR,1497091800,,,,,,,,1497091800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCIND,195769260,,,,,,,,195769260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCIGR,379445100,,379445100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCHXN,47845500,,,,,,,,47845500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCCIV,239227500,,,,,,,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYCCCT,23874300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23874300,
ZYBZCI,239227500,,,,,,,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZXURB,63794000,,,,,,,,63794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZXCDIN,206910600,,,,,,,,206910600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZXCCIN,222923700,,,,,,,,222923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWCSIN,89311600,,89311600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZVEZA,14723880,14723880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUSTER,15883050,,,,,,,,,,,,,,,,,,,,,,,,,15883050,,,,,,,,,,,,,,,,,
ZURSIL,127859570,,,,,,,,,,,,,,,,,,,,,,,127859570,,,,,,,,,,,,,,,,,,,
ZURNVX,10930918400,,0,,,,,,,,,,,,,,,10930918400,,,,,,0,,,,,,,,,,,,,,,,,,,
ZUNYDE,250078140,,250078140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZULMA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUGNSW,106667000,,,,,,106667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZUGKAN,2524733910,2524733910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTTECH,1913820,,,,,,,,,,,,,,,,,,,,,,,,1913820,,,,,,,,,,,,,,,,,,
ZTSTEL,318970000,,,,,,,,,,,,,,,,,,318970000,,,,,,,,,,,,,,,,,,,,,,,,
ZTSECU,159485000,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTSECB,300000000,,300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTS,5000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000,,,,,,,,,,,,,
ZTLAND,478455000,,,,,,478455000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTELEC,63794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63794000,,,,,,,,,
ZTEH,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159162000,
ZTECOR,1196137500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196137500,
ZTCONT,95691000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95691000,,,
ZSXZGR,130777700,,130777700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSUTIL,159484203,,,,,159484203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSTORC,191382000,,191382000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSTDGR,141941650,,,,,,,,141941650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSSECU,79742500,,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSRCBK,245174080,245174080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSPUTU,229989090,,,,,,,,,,,,,,,,,,,,,,,,,,,,229989090,,,,,,,,,,,,,,
ZSPORT,111413400,,,,,,,,,,,,111413400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSMCDI,573306200,,,,,,,,573306200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSDNHA,240512270,,240512270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSDHDE,282699490,,,,,,,,282699490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSCOIV,677246000,,,,,,,,677246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRINDU,318324000,,318324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRHYBS,89311600,,89311600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQSOAM,239227500,,,,,,,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQK,392464503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392464503,
ZQHTEC,127588000,,,,,,,,127588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQGLIH,477970500,,,,,,,,477970500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPHRHL,1226990000,,1226990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPCOUN,133902800,,133902800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPCCGP,191188200,,,,,,,,,,,,,,,,,,191188200,,,,,,,,,,,,,,,,,,,,,,,,
ZOUCAO,506606740,,,,,,,,506606740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZORL,47090088,,,,,,,,,47090088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOREN,167231118,,,,,,,,,,,,,167231118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOOPHI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOOMLI,2032458000,,,,,,,,,,,,,,,,,,,2032458000,,,,,,,,,,,,,,,,,,,,,,,
ZOBELE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
ZNYSOA,860702200,,860702200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNXRCB,79581000,79581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPSTZ,350382500,,,,,,,,,,,,,,,350382500,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNGSK,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNACGO,15948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15948500,
ZMNENE,206910600,,206910600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMHIT,61991747,,,,,,61991747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMDINV,959292200,,959292200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMARTA,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZLSOLA,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79742500,
ZLNCIC,79581000,,,,,,,,79581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZLLIN,10136490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10136490,
ZLC,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
ZKOGDA,41604628,,,,,,,,,,,,41604628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKINVE,159162000,,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKCINV,144812610,,,,,,144812610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKB,11103281890,11103281890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJZSAM,318970000,,318970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJYZHL,50260296,,26385996,,,,,,,,,,,,,,,,,,,,,,,,,23874300,,,,,,,,,,,,,,,
ZJYYIP,239227500,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJYWRC,933073690,933073690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJYONL,318647000,,,,,,,,,,,,,,,,,,,318647000,,,,,,,,,,,,,,,,,,,,,,,
ZJYJCG,186597450,,,,,,,,186597450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJYAFB,95691000,,95691000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXWTH,63664800,,,,,,,,63664800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXSRB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXHGC,159162000,,,,,,,,,,,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXHAM,271124500,,271124500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXCID,267547200,,,,,,,,267547200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJXCAO,318647000,,318647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJWYIN,66848040,,66848040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJWLYT,119371500,,,,,,,,,,,,,,,,,,,119371500,,,,,,,,,,,,,,,,,,,,,,,
ZJVIEG,15948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15948500,,
ZJTZLI,39871250,,,,,,,,39871250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJTRAN,254853000,,,,,,,,,,,,,,,254853000,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJTOUR,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159162000,
ZJTNBT,124210688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124210688,
ZJSYRU,63729400,63729400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJSYKF,124146360,,,,,,124146360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJSYFM,7958100,7958100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJSTAS,255176000,,255176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJSOAM,685042600,,685042600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJSHDA,79677900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79677900,
ZJRSHO,1704583800,,1704583800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJRRCB,5281939090,5281939090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJRACB,79581000,79581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJPCWS,79742500,,,,,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJMINT,4399209380,4399209380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJMGCL,2676764000,,,,,,,,,,,,,,,,,,2676764000,,,,,,,,,,,,,,,,,,,,,,,,
ZJMBCL,318324000,318324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJMANA,526171300,,526171300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJMADE,183100900,,,,,,,,,,,,,,,,,,183100900,,,,,,,,,,,,,,,,,,,,,,,,
ZJLHRB,23874300,23874300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJKCDG,38276400,,,,,,,,38276400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJKBNK,1838722390,1838722390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJJWLY,71622900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71622900,
ZJJTMT,30302150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30302150,
ZJJSE,51035200,,,,,,,,51035200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJJRYC,238927110,,,,,,,,238927110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJJIXI,112529285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112529285,
ZJJIAH,47748600,,,,,,,,,,,,,,,47748600,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJJHHI,382505600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382505600,
ZJJFGR,84495103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84495103,,,,,,,,,,,,,
ZJJAHB,29504725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29504725,
ZJINVE,1487995050,,1487995050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJINTL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
ZJIFIV,101863680,,101863680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJHZGR,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79742500,,,,,,,,,,,,,
ZJHYBK,15916200,15916200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJHISU,79581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79581000,,,,,,,,,,,,,
ZJGNSH,393669550,393669550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJGMP,1351463800,,1351463800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJGLQP,38276400,,,,,,,,,,,,,,,,38276400,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJGIDG,207007500,,207007500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJGCMC,71622900,,,,,,,,,,,,,,,,,,,71622900,,,,,,,,,,,,,,,,,,,,,,,
ZJFYBK,254820700,254820700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJFUTU,15948500,,15948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJFCSJ,430221900,,,,,,,,430221900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJFCID,47748600,,47748600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJEXPR,3706419830,,,,,,,,447851350,,,,3258568480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJENTC,239227500,,,,,,,,239227500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJDYRB,238823750,238823750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJDUNA,79581000,,,,,,,,,,,,,,,,,,,,,79581000,,,,,,,,,,,,,,,,,,,,,
ZJCYOP,187811160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187811160,,,,,,,,,
ZJCXED,362397000,,43750000,,,,,,318647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJCOMG,1461025090,,,,,,,,,,,,1461025090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJCOGR,159485000,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJCINV,446073500,,,,,,,,446073500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJCIGR,191382000,,,,,,,,191382000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJCGJR,374386000,374386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJBCTY,287073000,,287073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJASSM,255176000,,255176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJAPME,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159162000,,
ZJAMPH,159162000,,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJAGRD,103552200,,,,,,,,,,,,,,,,103552200,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIYANI,19935625,,19935625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIRBSE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZION,542154000,542154000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMISS,498007480,,,,,,,,,,,,498007480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMAHO,30674750,,,,,,30674750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIJIAN,207265900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207265900,
ZIHCBK,31897000,31897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIGGO,6448073880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6448073880,
ZIEGLR,22510000,,,,,,22510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIBOST,127588000,,127588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIBOPR,1401077800,,1401077800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIBOBK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZPHI,66848040,,66848040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZJIN,621474700,,621474700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHXJ,964060600,,,,,,,,964060600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHRL,95497200,,,,,,,,95497200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHGD,159485000,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHGA,175207400,,,,,,,,,,,,175207400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHDI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHCN,226010040,,,,,,,,226010040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHCC,318550100,,318550100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHZHAE,47748600,,,,,,47748600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHYUBK,9485789420,9485789420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHYSOA,216899600,,216899600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHYFSH,79742500,,,,,,,,,,,,,,,,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHWATE,79742500,,,,,79742500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHWANG,1546616900,,,,,,,,,,,,,,,,,,1546616900,,,,,,,,,,,,,,,,,,,,,,,,
ZHUSTA,508484384,,508484384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHURUL,527149220,527149220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHURCC,206910600,206910600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHUINV,61384800,,,,,,,,,,,,,,,,,,,,,,,,,,,61384800,,,,,,,,,,,,,,,
ZHUHUI,381988800,,,,,,,,381988800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHUGUA,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHUDHQ,175078200,,,,,,175078200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHTONG,399658120,,,,,,,,,,,,399658120,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
ZHTBUS,47748600,,,,,,,,,,,,47748600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHTACO,3525930030,3525930030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHSIPL,135287700,,135287700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHSHST,143245800,,,,,,,,143245800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHSHSE,1187049177,,1187049177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHRURA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
