ISIN,MarketValue,Currency
AU000000HUB4,223690,CHF
AU000000HVN7,1400152,CHF
AU000000IAG3,5507993,CHF
AU000000IEL5,908048,CHF
AU000000IFL2,893048,CHF
AU000000IFN8,214070,CHF
AU000000IGO4,1186374,CHF
AU000000ILU1,1492358,CHF
AU000000IMF0,264316,CHF
AU000000INA9,326804,CHF
AU000000ING6,367240,CHF
AU000000IPH9,591627,CHF
AU000000IPL1,937666,CHF
AU000000IRE2,825119,CHF
AU000000IRI3,137131,CHF
AU000000IVC8,571470,CHF
AU000000JBH7,1584677,CHF
AU000000JHX1,2532896,CHF
AU000000JIN0,215540,CHF
AU000000KGN2,145474,CHF
AU000000LLC3,1844039,CHF
AU000000LNK2,1163135,CHF
AU000000LOV7,295670,CHF
AU000000LYC6,534629,CHF
AU000000MFG4,2961293,CHF
AU000000MGR9,5642544,CHF
AU000000MGX7,135677,CHF
AU000000MIN4,1031845,CHF
AU000000MMS5,351435,CHF
AU000000MND5,561608,CHF
AU000000MOE1,95750,CHF
AU000000MP15,381131,CHF
AU000000MPL3,3862149,CHF
AU000000MQG1,10562599,CHF
AU000000MSB8,277833,CHF
AU000000MTS0,851198,CHF
AU000000MYR2,138199,CHF
AU000000MYX0,233928,CHF
AU000000NAB4,23099436,CHF
AU000000NAN9,673300,CHF
AU000000NCM7,6450407,CHF
AU000000NEA8,347195,CHF
AU000000NEC4,1058815,CHF
AU000000NGI6,122778,CHF
AU000000NHF0,1039296,CHF
AU000000NSR2,531702,CHF
AU000000NST8,2708962,CHF
AU000000NUF3,623878,CHF
AU000000NWH5,428821,CHF
AU000000NWL7,262225,CHF
AU000000NXT8,781387,CHF
AU000000OML6,291741,CHF
AU000000ORA8,1404584,CHF
AU000000ORE0,209843,CHF
AU000000ORG5,3488775,CHF
AU000000ORI1,2100819,CHF
AU000000OZL8,1278850,CHF
AU000000PGH3,268034,CHF
AU000000PLS0,141785,CHF
AU000000PME8,332662,CHF
AU000000PMV2,669184,CHF
AU000000PNI7,153861,CHF
AU000000PNV0,313349,CHF
AU000000PPT9,685794,CHF
AU000000PRU3,369768,CHF
AU000000PTM6,484376,CHF
AU000000QAN2,1536178,CHF
AU000000QBE9,7461290,CHF
AU000000QUB5,1744460,CHF
AU000000REA9,1458015,CHF
AU000000REG6,119020,CHF
AU000000RFF5,211426,CHF
AU000000RHC8,6236680,CHF
AU000000RIO1,8641287,CHF
AU000000RMS4,186564,CHF
AU000000RRL8,847059,CHF
AU000000RSG6,359863,CHF
AU000000RWC7,1166127,CHF
AU000000S320,7717708,CHF
AU000000SAR9,977393,CHF
AU000000SBM8,708993,CHF
AU000000SCG8,6189650,CHF
AU000000SCP9,900009,CHF
AU000000SDF8,1000336,CHF
AU000000SEK6,1421393,CHF
AU000000SFR8,359666,CHF
AU000000SGF1,91411,CHF
AU000000SGM7,700125,CHF
AU000000SGP0,4169503,CHF
AU000000SGR6,1387732,CHF
AU000000SHL7,11386004,CHF
AU000000SHV6,299986,CHF
AU000000SIG5,230938,CHF
AU000000SIQ4,316390,CHF
AU000000SKI7,1283554,CHF
AU000000SLR6,390679,CHF
AU000000SSM2,326664,CHF
AU000000STO6,4100834,CHF
AU000000SUL0,529445,CHF
AU000000SUN6,5239375,CHF
AU000000SVW5,962319,CHF
AU000000SWM4,109434,CHF
AU000000SXL4,232412,CHF
AU000000SXY7,163869,CHF
AU000000SYD9,4051637,CHF
AU000000TAH8,2332224,CHF
AU000000TCL6,9788536,CHF
AU000000TGR4,322884,CHF
AU000000TLS2,6392872,CHF
AU000000TNE8,757840,CHF
AU000000TPM6,550065,CHF
AU000000TWE9,2178385,CHF
AU000000VCX7,3181643,CHF
AU000000VOC6,659547,CHF
AU000000VRL0,149773,CHF
AU000000VRT3,154225,CHF
AU000000VVR9,477243,CHF
AU000000WBC1,26869051,CHF
AU000000WEB7,561649,CHF
AU000000WES1,10957974,CHF
AU000000WGX6,289090,CHF
AU000000WOR2,963117,CHF
AU000000WOW2,10589656,CHF
AU000000WPL2,11107819,CHF
AU000000WPP3,75578,CHF
AU000000WSA9,310373,CHF
AU000000WTC3,634284,CHF
AU000000Z1P6,244337,CHF
AU0000013559,2322123,CHF
AU0000016875,748638,CHF
AU0000026122,153680,CHF
AU0000027484,207751,CHF
AU0000030645,287358,CHF
AU0000030678,6031026,CHF
AU0000033359,520635,CHF
AU0000040057,50633,CHF
AU0000061897,380123,CHF
BE0002251206,1842952,CHF
BE0002266352,887664,CHF
BE0002485606,4500268,CHF
BE0002629104,1965032,CHF
BE0002631126,1351773,CHF
BE0003470755,1262412,CHF
BE0003555639,140570,CHF
BE0003565737,2506770,CHF
BE0003593044,792989,CHF
BE0003656676,56084,CHF
BE0003678894,182767,CHF
BE0003699130,201036,CHF
BE0003717312,789463,CHF
BE0003720340,57910,CHF
BE0003735496,73464,CHF
BE0003739530,3459047,CHF
BE0003746600,37148,CHF
BE0003755692,244457,CHF
BE0003763779,670496,CHF
BE0003764785,818928,CHF
BE0003766806,35067,CHF
BE0003790079,559649,CHF
BE0003797140,3948218,CHF
BE0003808251,53048,CHF
BE0003810273,2848963,CHF
BE0003816338,532168,CHF
BE0003818359,892262,CHF
BE0003822393,686977,CHF
BE0003826436,388065,CHF
BE0003839561,18038,CHF
BE0003851681,810007,CHF
BE0003853703,85403,CHF
BE0003867844,480837,CHF
BE0003874915,349563,CHF
BE0003883031,175777,CHF
BE0165385973,242987,CHF
BE0974256852,2147863,CHF
BE0974258874,266473,CHF
BE0974259880,373224,CHF
BE0974264930,3205512,CHF
BE0974268972,277332,CHF
BE0974274061,134360,CHF
BE0974276082,401867,CHF
BE0974281132,87903,CHF
BE0974293251,6092241,CHF
BE0974310428,25451,CHF
BE0974320526,1060262,CHF
BE0974338700,406636,CHF
BE6265142099,8741972,CHF
BE6276040431,6545832,CHF
BE6285455497,5920643,CHF
BE6285457519,6028550,CHF
BE6301510028,6375093,CHF
BE6305977074,1546917,CHF
BE6312821612,1484006,CHF
BE6315719490,1476608,CHF
BE6317283610,3214428,CHF
BMG0129K1045,129660,CHF
BMG0135Z1032,56793,CHF
BMG0171K1018,1058104,CHF
BMG0171W1055,675936,CHF
BMG0450A1053,3068050,CHF
BMG0464B1072,553475,CHF
BMG0585R1060,530318,CHF
BMG0684D1074,822297,CHF
BMG0692U1099,633952,CHF
BMG0750C1082,584400,CHF
BMG0957L1090,653321,CHF
BMG095871098,52686,CHF
BMG1368B1028,2709943,CHF
BMG1466R2078,167992,CHF
BMG169621056,555669,CHF
BMG173841013,218470,CHF
BMG1738J1247,341793,CHF
BMG1744V1037,445070,CHF
BMG200452024,130560,CHF
BMG202981087,62905,CHF
BMG210821051,65728,CHF
BMG2108M2182,279880,CHF
BMG2108V1019,347628,CHF
BMG210901242,486892,CHF
BMG2109G1033,2768140,CHF
BMG210A71016,397944,CHF
BMG2113B1081,2393596,CHF
BMG2113J1018,478361,CHF
BMG2113M1203,202315,CHF
BMG2116Y1057,68558,CHF
BMG2154F1095,267091,CHF
BMG2155Y1075,176216,CHF
BMG2178K1009,3558474,CHF
BMG2233G1024,103076,CHF
BMG2345T1099,298466,CHF
BMG2442N1048,1666664,CHF
BMG2519Y1084,3815842,CHF
BMG2581C1091,125272,CHF
BMG2624N1535,709406,CHF
BMG2759B1072,300989,CHF
BMG2R28T1049,102480,CHF
BMG3036C2239,143621,CHF
BMG3075P1014,155042,CHF
BMG3122U1457,179917,CHF
BMG3198U1027,443233,CHF
BMG3223R1088,4193544,CHF
BMG3305Y1619,105003,CHF
BMG348041077,448557,CHF
BMG359472021,33387,CHF
BMG3682E1921,206267,CHF
BMG3775G1380,37426,CHF
BMG3911S1035,561692,CHF
BMG396372051,188444,CHF
BMG3978C1249,896502,CHF
BMG4209G2077,58047,CHF
BMG423131256,1075495,CHF
BMG4232X1020,384963,CHF
BMG4388N1065,850651,CHF
BMG4404N1065,200412,CHF
BMG4512G1261,348973,CHF
BMG4516H1795,55242,CHF
BMG454221059,84753,CHF
BMG4587L1090,1809186,CHF
BMG4593F1389,1161659,CHF
BMG4639H1227,276529,CHF
BMG4643R1088,40467,CHF
BMG475671050,2019092,CHF
BMG491BT1088,540575,CHF
BMG4977W1038,57635,CHF
BMG5005R1079,79652,CHF
BMG507361001,7518039,CHF
BMG507641022,4557590,CHF
BMG5150J1577,401903,CHF
BMG524181036,565366,CHF
BMG524401079,1957849,CHF
BMG5320C1082,1179946,CHF
BMG5321P1169,387077,CHF
BMG5361W1047,320503,CHF
BMG5369T1788,66537,CHF
BMG5485F1692,371576,CHF
BMG5695X1258,555219,CHF
BMG570071099,532725,CHF
BMG578481068,331331,CHF
BMG5800U1071,583523,CHF
BMG5876H1051,1115141,CHF
BMG6359F1032,69749,CHF
BMG6469T1009,68338,CHF
BMG653181005,1390157,CHF
BMG6624L1090,35290,CHF
BMG667211046,1945992,CHF
BMG668971101,1028169,CHF
BMG684371393,497719,CHF
BMG6889V1072,35458,CHF
BMG6901M1010,193924,CHF
BMG6955J1036,277612,CHF
BMG7208D1092,515145,CHF
BMG7403L1046,90872,CHF
BMG7475M1626,52614,CHF
BMG7496G1033,3698374,CHF
BMG760581097,347171,CHF
BMG8063F1068,675812,CHF
BMG8065B1037,211432,CHF
BMG8086V1467,1287223,CHF
BMG8114Z1014,48916,CHF
BMG812761002,178331,CHF
BMG8162K1137,364997,CHF
BMG8165U1009,396218,CHF
BMG8181C1001,481515,CHF
BMG8219Z1059,136457,CHF
BMG8220B1476,248588,CHF
BMG8226U1071,113469,CHF
BMG8229F1150,238465,CHF
BMG8403G1033,219450,CHF
BMG850801025,72776,CHF
BMG8770Z1068,81072,CHF
BMG8827U1009,69364,CHF
BMG9001E1286,225112,CHF
BMG9078F1077,123829,CHF
BMG9400S1329,830625,CHF
BMG9618E1075,325141,CHF
BMG988031446,2259173,CHF
BMG9880L1028,773400,CHF
BMG9908J1053,202785,CHF
BRAALRACNOR6,86556,CHF
BRABCBACNPR4,152410,CHF
BRABEVACNOR1,5452348,CHF
BRALPAACNPR7,1319471,CHF
BRALSOACNOR5,982045,CHF
BRALUPCDAM15,752755,CHF
BRAMARACNOR4,114764,CHF
BRANIMACNOR6,89639,CHF
BRARZZACNOR3,536135,CHF
BRAZULACNPR4,2888621,CHF
BRB3SAACNOR6,5490344,CHF
BRBBASACNOR3,2857955,CHF
BRBBDCACNOR1,2581261,CHF
BRBBDCACNPR8,8995710,CHF
BRBBSEACNOR5,3499233,CHF
BRBEEFACNOR6,151452,CHF
BRBIDIACNPR0,22647,CHF
BRBIDICDAXX3,573343,CHF
BRBKBRACNOR4,577453,CHF
BRBPACUNT006,1053752,CHF
BRBRAPACNPR2,1643002,CHF
BRBRDTACNOR1,2396752,CHF
BRBRFSACNOR8,1232633,CHF
BRBRKMACNPA4,380697,CHF
BRBRMLACNOR9,924733,CHF
BRBRPRACNOR9,241555,CHF
BRBRSRACNPB4,780179,CHF
BRBTOWACNOR8,815874,CHF
BRCAMLACNOR3,86322,CHF
BRCCROACNOR2,1456266,CHF
BRCESPACNPB4,1038736,CHF
BRCIELACNOR3,657111,CHF
BRCMIGACNPR3,822179,CHF
BRCNTOACNOR5,188849,CHF
BRCOGNACNOR2,2967555,CHF
BRCPLEACNPB9,1289461,CHF
BRCRFBACNOR2,476648,CHF
BRCSANACNOR6,738358,CHF
BRCSMGACNOR5,797056,CHF
BRCSNAACNOR6,554716,CHF
BRCVCBACNOR1,1080719,CHF
BRCYREACNOR7,1477289,CHF
BRDMMOACNOR0,29864,CHF
BRDTEXACNOR3,965347,CHF
BRECORACNOR8,650952,CHF
BREGIEACNOR9,1223550,CHF
BRELETACNOR6,554145,CHF
BRELETACNPB7,542121,CHF
BREMBRACNOR4,1714014,CHF
BRENATACNOR0,123249,CHF
BRENBRACNOR2,1292517,CHF
BRENEVACNOR8,933920,CHF
BRENGICDAM16,476775,CHF
BREQTLACNOR0,2806110,CHF
BREVENACNOR8,156193,CHF
BREZTCACNOR0,825079,CHF
BRFESAACNPR5,76588,CHF
BRFLRYACNOR5,1216297,CHF
BRGGBRACNPR8,1271360,CHF
BRGNDIACNOR2,1828410,CHF
BRGOAUACNPR8,1182400,CHF
BRGOLLACNPR4,669706,CHF
BRGRNDACNOR3,636735,CHF
BRGUARACNOR4,469532,CHF
BRHAPVACNOR4,1695107,CHF
BRHGTXACNOR9,880872,CHF
BRHYPEACNOR0,3424124,CHF
BRIGTAACNOR5,955062,CHF
BRIRBRACNOR4,1705494,CHF
BRITSAACNPR7,4155112,CHF
BRITUBACNPR1,11641269,CHF
BRJBSSACNOR8,7465367,CHF
BRJHSFACNOR2,154128,CHF
BRJSLGACNOR2,148859,CHF
BRKLBNCDAM18,819905,CHF
BRLAMEACNPR6,1124529,CHF
BRLCAMACNOR3,1300548,CHF
BRLEVEACNOR2,103992,CHF
BRLIGTACNOR2,922562,CHF
BRLINXACNOR0,1021457,CHF
BRLOGGACNOR7,151729,CHF
BRLRENACNOR1,3294764,CHF
BRMDIAACNOR7,485579,CHF
BRMGLUACNOR2,3467883,CHF
BRMOVIACNOR0,460324,CHF
BRMRFGACNOR0,615311,CHF
BRMRVEACNOR2,1412569,CHF
BRMULTACNOR5,602252,CHF
BRMYPKACNOR7,531852,CHF
BRNTCOACNOR5,988100,CHF
BRODPVACNOR4,828629,CHF
BROMGEACNOR0,152882,CHF
BRPARDACNOR1,123186,CHF
BRPCARACNPR0,903617,CHF
BRPETRACNOR9,6269148,CHF
BRPETRACNPR6,7454152,CHF
BRPOMOACNPR7,493655,CHF
BRPRIOACNOR1,714651,CHF
BRPSSAACNOR7,378100,CHF
BRQUALACNOR6,1536859,CHF
BRRADLACNOR0,1594792,CHF
BRRAILACNOR9,2342113,CHF
BRRAPTACNPR4,481592,CHF
BRRENTACNOR4,1701471,CHF
BRRLOGACNOR4,575708,CHF
BRSANBCDAM13,1313832,CHF
BRSAPRACNPR6,148680,CHF
BRSAPRCDAM13,1152339,CHF
BRSBSPACNOR5,1224574,CHF
BRSEERACNOR5,325985,CHF
BRSLCEACNOR2,489531,CHF
BRSMLSACNOR1,466985,CHF
BRSMTOACNOR3,791965,CHF
BRSTBPACNOR3,427492,CHF
BRSULACDAM12,956342,CHF
BRSUZBACNOR0,1279811,CHF
BRTAEECDAM10,1313496,CHF
BRTENDACNOR4,170057,CHF
BRTGMAACNOR7,87913,CHF
BRTIETCDAM15,528523,CHF
BRTIMPACNOR1,1764711,CHF
BRTOTSACNOR8,1775343,CHF
BRTRISACNOR4,107545,CHF
BRTUPYACNOR1,129113,CHF
BRUGPAACNOR8,1111307,CHF
BRUNIPACNPB8,153871,CHF
BRVALEACNOR0,10485365,CHF
BRVIVTACNPR7,5375856,CHF
BRVULCACNOR2,69983,CHF
BRVVARACNOR1,1917425,CHF
BRWEGEACNOR0,1764029,CHF
BRWIZSACNOR1,97891,CHF
BRYDUQACNOR3,2260555,CHF
CA0011811068,50042,CHF
CA0019401052,417243,CHF
CA00208D4084,295752,CHF
CA00765F1018,136922,CHF
CA0084741085,5855457,CHF
CA0089118776,998214,CHF
CA0106791084,496725,CHF
CA0115321089,176681,CHF
CA01163Q4007,61657,CHF
CA0158571053,798542,CHF
CA01626P4033,1503600,CHF
CA0194561027,488880,CHF
CA0213611001,459784,CHF
CA02215R1073,360853,CHF
CA03765K1049,180166,CHF
CA04045U1021,71996,CHF
CA04315L1058,190568,CHF
CA0467894006,423951,CHF
CA05156V1022,118912,CHF
CA05156X1087,164625,CHF
CA05534B7604,2631322,CHF
CA05577W2004,131650,CHF
CA05651W2094,347271,CHF
CA0585861085,97974,CHF
CA0636711016,4810255,CHF
CA0641491075,6621053,CHF
CA0679011084,7551401,CHF
CA0717341071,1348675,CHF
CA07317Q1054,56484,CHF
CA0906971035,33357,CHF
CA09228F1036,332526,CHF
CA0966311064,316162,CHF
CA0977512007,198901,CHF
CA09950M3003,371485,CHF
CA1125851040,2836736,CHF
CA11777Q2099,269290,CHF
CA1247651088,604299,CHF
CA1249003098,530011,CHF
CA12532H1047,3509066,CHF
CA1254911003,359371,CHF
CA1348011091,59657,CHF
CA1349211054,650664,CHF
CA1350861060,110580,CHF
CA1360691010,2489651,CHF
CA1363751027,3528222,CHF
CA1363851017,4160283,CHF
CA13645T1003,2084861,CHF
CA1366812024,830589,CHF
CA1367178326,392685,CHF
CA13677F1018,159934,CHF
CA1375761048,177413,CHF
CA1375842079,31870,CHF
CA1380351009,425679,CHF
CA14042M1023,236263,CHF
CA1469001053,42333,CHF
CA15101Q1081,74200,CHF
CA15135U1093,1404452,CHF
CA1520061021,124935,CHF
CA15713J1049,36373,CHF
CA16890P1036,64079,CHF
CA1724541000,123380,CHF
CA19239C1068,106342,CHF
CA1946931070,237965,CHF
CA2052491057,48603,CHF
CA21037X1006,1143313,CHF
CA2208741017,61525,CHF
CA22163N1069,136064,CHF
CA22576C1014,353246,CHF
CA22717L1013,130811,CHF
CA2499061083,244399,CHF
CA2506691088,237257,CHF
CA25490H1064,106484,CHF
CA25675T1075,778697,CHF
CA2849025093,419620,CHF
CA2861812014,508781,CHF
CA2908761018,713158,CHF
CA2918434077,880272,CHF
CA2925051047,917376,CHF
CA29250N1050,4578156,CHF
CA29269R1055,62843,CHF
CA2927661025,121343,CHF
CA2929491041,116354,CHF
CA2935701078,25569,CHF
CA2945051027,73981,CHF
CA3039011026,2553084,CHF
CA3180714048,430718,CHF
CA31890B1031,472739,CHF
CA32076V1031,607932,CHF
CA3359341052,1151370,CHF
CA33767E2024,235437,CHF
CA3495531079,1093546,CHF
CA3499151080,263462,CHF
CA3518581051,7831917,CHF
CA3565001086,165530,CHF
CA37252B1022,134080,CHF
CA3748252069,214744,CHF
CA3759161035,602310,CHF
CA3874371147,387563,CHF
CA3899141020,142156,CHF
CA39138C1068,2507092,CHF
CA4039254079,312608,CHF
CA4283041099,23814,CHF
CA4369131079,493735,CHF
CA4436281022,70295,CHF
CA4480551031,477132,CHF
CA4488112083,1058218,CHF
CA4495861060,370981,CHF
CA45075E1043,582248,CHF
CA4509131088,118040,CHF
CA45245E1097,90667,CHF
CA4530384086,903476,CHF
CA45790B1040,114206,CHF
CA45823T1066,3857337,CHF
CA45833V1094,599396,CHF
CA45868C1095,230545,CHF
CA4609191032,59995,CHF
CA46579R1047,143759,CHF
CA48213W1014,79512,CHF
CA4882951060,46335,CHF
CA4932711001,435941,CHF
CA49410M1023,311029,CHF
CA49448Q1090,496913,CHF
CA4969024047,3133664,CHF
CA49741E1007,1244365,CHF
CA4990531069,133104,CHF
CA5054401073,89131,CHF
CA51925D1069,314496,CHF
CA53278L1076,210002,CHF
CA5359194019,93915,CHF
CA5359195008,244191,CHF
CA5394811015,1822578,CHF
CA54928Q1081,15823,CHF
CA5503721063,825074,CHF
CA5527041084,103268,CHF
CA55378N1078,120458,CHF
CA5592224011,4284441,CHF
CA5609091031,34711,CHF
CA5649051078,135417,CHF
CA56501R1064,4088030,CHF
CA5734591046,80893,CHF
CA5753851099,149009,CHF
CA59151K1084,243797,CHF
CA59162N1096,1595014,CHF
CA61767W1041,108248,CHF
CA6252841045,59892,CHF
CA62910L1022,250274,CHF
CA6330671034,952125,CHF
CA6445351068,122068,CHF
CA65548P4033,298067,CHF
CA6632782083,241374,CHF
CA6665111002,199481,CHF
CA6671851021,320275,CHF
CA6674951059,205694,CHF
CA66987E2069,165692,CHF
CA67000B1040,222409,CHF
CA67072Q1046,32924,CHF
CA67077M1086,1389656,CHF
CA6752221037,298838,CHF
CA68272K1030,663737,CHF
CA6837151068,1547221,CHF
CA68827L1013,302690,CHF
CA6979001089,908949,CHF
CA6993202069,68551,CHF
CA69946Q1046,693806,CHF
CA70137T1057,365396,CHF
CA7029251088,63351,CHF
CA7063271034,1153100,CHF
CA7170461064,82335,CHF
CA7392391016,1042317,CHF
CA73927C1005,1083658,CHF
CA7397211086,261909,CHF
CA74022D3085,34466,CHF
CA74051D1042,109520,CHF
CA74061A1084,138906,CHF
CA74139C1023,128192,CHF
CA7481932084,138437,CHF
CA76131D1033,817147,CHF
CA76329W1032,83266,CHF
CA7669101031,257961,CHF
CA7677441056,774135,CHF
CA7751092007,5031298,CHF
CA77519R1029,158100,CHF
CA7800871021,7453581,CHF
CA7819036046,79946,CHF
CA78460T1057,519432,CHF
CA7847301032,171752,CHF
CA80013R2063,118425,CHF
CA8029121057,421533,CHF
CA81373C1023,49556,CHF
CA8169221089,54652,CHF
CA81783Q1054,245896,CHF
CA82028K2002,3611656,CHF
CA8204391079,52538,CHF
CA82509L1076,2381143,CHF
CA82621K1021,62820,CHF
CA8265161064,22242,CHF
CA82835P1036,436674,CHF
CA83125J1049,144293,CHF
CA83179X1087,141678,CHF
CA85472N1096,235882,CHF
CA85570W1005,869563,CHF
CA85853F1053,109299,CHF
CA8667961053,2366793,CHF
CA8672241079,5282475,CHF
CA86828P1036,418322,CHF
CA87241L1094,642168,CHF
CA87262K1057,273497,CHF
CA87807B1076,2763129,CHF
CA8787422044,2174267,CHF
CA87971M1032,86733,CHF
CA87971M9969,3250490,CHF
CA8849037095,1823625,CHF
CA88709B1040,94700,CHF
CA8910546032,94530,CHF
CA8911021050,538729,CHF
CA8911605092,9201446,CHF
CA89154B1022,31181,CHF
CA89156V1067,646950,CHF
CA8934631091,95545,CHF
CA89346D1078,146774,CHF
CA8935781044,59041,CHF
CA89612W1023,88850,CHF
CA9004351081,118054,CHF
CA90457D1006,129845,CHF
CA9170171057,68759,CHF
CA9237251058,290992,CHF
CA92938W2022,339084,CHF
CA94106B1013,5964607,CHF
CA9528451052,458879,CHF
CA9611485090,1007172,CHF
CA96145A2002,105679,CHF
CA9628791027,3023632,CHF
CA96467A2002,130182,CHF
CA97535P1045,283957,CHF
CA98462Y1007,544567,CHF
CH0000816824,1996872,CHF
CH0001503199,3120120,CHF
CH0001752309,3449347,CHF
CH0002088976,784620,CHF
CH0002178181,1876271,CHF
CH0002432174,1904239,CHF
CH0002497458,11876480,CHF
CH0003541510,1455184,CHF
CH0003671440,356298,CHF
CH0006227612,550240,CHF
CH0006372897,1189725,CHF
CH0008012236,445212,CHF
CH0008038389,7248882,CHF
CH0008742519,11147512,CHF
CH0008805449,1011500,CHF
CH0008837566,2436169,CHF
CH0009002962,5501074,CHF
CH0009320091,101661,CHF
CH0010570759,7438500,CHF
CH0010570767,6883740,CHF
CH0010645932,23693327,CHF
CH0010675863,369140,CHF
CH0010702154,758371,CHF
CH0010754924,1058038,CHF
CH0011029946,1128927,CHF
CH0011075394,50063191,CHF
CH0011108872,1629737,CHF
CH0011178255,193678,CHF
CH0011339204,311055,CHF
CH0011432447,470381,CHF
CH0011484067,1011373,CHF
CH0011795959,1877368,CHF
CH0012005267,166764221,CHF
CH0012032048,186458224,CHF
CH0012100191,2766512,CHF
CH0012138530,28299789,CHF
CH0012138605,8028391,CHF
CH0012142631,3643812,CHF
CH0012214059,22318526,CHF
CH0012221716,36322636,CHF
CH0012255144,2300625,CHF
CH0012255151,6610680,CHF
CH0012268360,187525,CHF
CH0012280076,8331206,CHF
CH0012335540,1872513,CHF
CH0012410517,7258650,CHF
CH0012453913,8513477,CHF
CH0012530207,694897,CHF
