Peer.Group,Investor.Name,Portfolio.Name,ISIN,MarketValue,Currency
bank,D,x,GB0003920757,6480.635363,CNY
bank,A,y,CND10000F0S3,84555.61138,KES
bank,B,z,LU1076698254,58349.70773,GBP
bank,C,x,DE000VS0AA76,44536.25785,SEK
bank,D,y,XS1853302732,43122.3759,BDT
bank,A,z,US3138LGDF06,16390.94162,AUD
bank,B,x,CNE1000002K5,1918.019701,COP
bank,C,y,CND10000BRY1,9693.310886,KES
bank,D,z,CND10000LMK0,1.99E+04,MAD
bank,A,x,US363388FR57,29426.85495,BHD
bank,B,y,US174610AU90,31870.53156,AUD
bank,C,z,US3131XQ6M36,74095.75341,NOK
bank,D,x,US36213F6R91,15280.30565,BWP
bank,A,y,US48128YAW12,69140.29164,MYR
bank,B,z,LU0146078620,99323.45133,MAD
bank,C,x,IDP000001208,33806.04646,SAR
bank,D,y,US36291XXK08,27071.78659,RON
bank,A,z,US31388UMV97,51617.38326,BHD
bank,B,x,XS0859484239,92464.20426,VND
bank,C,y,JP372155AH39,97187.76078,CAD
bank,D,z,HK0267001375,80809.61088,LKR
bank,A,x,INE248A01017,28244.57452,SGD
bank,B,y,GB00BKS7ZV87,74900.52679,BRL
bank,C,z,US3136ATH645,64537.78723,LKR
bank,D,x,US31407LL889,19690.69676,AED
bank,A,y,US12566QAJ22,76759.48053,AED
bank,B,z,INE897N01014,76537.73029,VND
bank,C,x,US93974C6M74,88040.66716,ZAR
bank,D,y,VNTL15453630,82437.68513,MAD
bank,A,z,US38377UJD19,18573.72193,CZK
bank,B,x,US857536GA81,54846.67015,SAR
bank,C,y,US3133TNFP42,47352.6454,KRW
bank,D,z,GB00B15XDH89,82863.46944,USD
bank,A,x,US12482JAC45,79052.38507,KES
bank,B,y,INE202B07IL9,50488.67906,VND
bank,C,z,US05491UBA51,64020.17678,CLP
bank,D,x,GB00BDD27J12,48991.61646,CZK
bank,A,y,US3140EU7J25,44436.27399,CZK
bank,B,z,XS0420269564,62077.68451,EUR
bank,C,x,US31417A4K28,7000.260733,MUR
bank,D,y,US592030ZL71,40489.80266,BHD
bank,A,z,USY7278TAF67,69342.38908,QAR
bank,B,x,DE0009769885,84792.92106,PLN
bank,C,y,SE0000108649,72706.05994,BHD
bank,D,z,US31397VSP30,36792.59673,BWP
bank,A,x,CA44811ZCM91,15590.1163,EGP
bank,B,y,XS0836495183,99563.36985,AED
bank,C,z,LU1063708850,27501.10949,ILS
bank,D,x,US64966KU762,79656.31279,ARS
bank,A,y,ES0142167032,9623.465226,PLN
bank,B,z,US3137FKUQ70,3666.526175,BHD
bank,C,x,JP2230001F83,87409.63117,KWD
bank,D,y,CH0380923679,35402.34439,KWD
bank,A,z,GB00BF03YC36,14575.54059,AUD
bank,B,x,US36242D6Z12,28312.76638,JPY
bank,C,y,US61760LDF94,9982.490316,TRY
bank,D,z,FR0000120107,45601.23647,RUB
bank,A,x,CNE100003654,24808.0896,HKD
bank,B,y,JP3759500006,54392.80381,BWP
bank,C,z,IE00BJH04H08,32906.91243,NGN
bank,D,x,XS0835891838,53281.90729,AUD
bank,A,y,US14041NFJ54,55971.70824,THB
bank,B,z,US31386XAX49,24401.61059,CLP
bank,C,x,DE000DR6D0M8,75196.35055,CHF
bank,D,y,US79546VAL09,75757.34274,NGN
bank,A,z,US520192MV46,10340.07659,COP
bank,B,x,US68608EJR45,43824.08844,CNY
bank,C,y,US406792Z873,46945.15814,MUR
bank,D,z,US249182LE46,32372.98539,DOP
bank,A,x,US3138EQKP69,33024.0105,RON
bank,B,y,US3138LKD950,25393.18882,RUB
bank,C,z,CNE000000VD6,21875.19488,KWD
bank,D,x,KR7052330008,98736.95481,BHD
bank,A,y,KR355901G4C2,75951.80523,NZD
bank,B,z,CNE100001534,16496.28023,PHP
bank,C,x,US45660LT823,20246.3641,VND
bank,D,y,US3128PYYP39,69076.46045,USD
bank,A,z,CNE000001592,71196.58416,MXN
bank,B,x,US59523UAR86,5954.788187,GHS
bank,C,y,AU000000PAB9,2900.537202,SEK
bank,D,z,US69337HAV33,98205.73592,UYU
bank,A,x,TW0000061001,51764.72462,MYR
bank,B,y,DE000DX6QMC1,33978.56651,KWD
bank,C,z,US31406H3D75,47501.01558,PHP
bank,D,x,US121262JW00,4551.977316,AUD
bank,A,y,RU000A0JRU46,33907.59652,BHD
bank,B,z,US57584XWK35,38151.41274,HKD
bank,C,x,LU0128494514,36447.72662,EGP
bank,D,y,US46590LAE20,86719.38379,RSD
bank,A,z,US31419FKB12,11249.64163,BDT
bank,B,x,US604115CK96,28410.38434,BRL
bank,C,y,XS1615680151,29234.98473,AED
bank,D,z,US61764BAG86,92206.52088,BWP
bank,A,x,USP36020AB42,35289.46873,BWP
bank,B,y,XS1881004730,59659.23458,USD
bank,C,z,US31413SHB34,73555.15421,CAD
bank,D,x,USG5975LAA47,64478.82505,TWD
bank,A,y,AU000000EWC5,34700.24792,SEK
bank,B,z,US91830CAL28,40063.89634,PLN
bank,C,x,US93627CAA99,84971.72912,NGN
bank,D,y,LU1267530803,41259.45273,JOD
bank,A,z,JP2280001DC3,46400.56626,ILS
bank,B,x,CND10000B3V5,20739.9517,SEK
bank,C,y,US186352QW39,6872.803792,NGN
bank,D,z,JP2011002D88,65974.66369,CNY
bank,A,x,US0222082010,13310.27171,RSD
bank,B,y,US838530QJ52,65803.31012,EGP
bank,C,z,US32007UBE82,88557.65391,PHP
bank,D,x,US3140F5MC44,57164.67314,COP
bank,A,y,US30779N1054,1846.864185,BDT
bank,B,z,VNHCMB132575,78292.22816,DOP
bank,C,x,US05542MAS44,87329.94957,TWD
bank,D,y,XS0329656366,34223.7306,NZD
bank,A,z,US761519BF37,82167.29115,PEN
bank,B,x,CH0241730941,98275.53659,PLN
bank,C,y,XS0502260424,61262.7846,CNY
bank,D,z,US05604FAG00,91604.39081,HRK
bank,A,x,XS1548960407,35820.17918,AUD
bank,B,y,IN3120180119,41106.71039,THB
bank,C,z,LU0283511433,29387.21444,VND
bank,D,x,US9147608A44,84547.54021,BRL
bank,A,y,CND100003D12,98586.45079,QAR
bank,B,z,DE000MHB17J8,44934.6303,GBP
bank,C,x,CA7397211086,4044.220923,MAD
bank,D,y,CND100018QQ1,77468.10439,HRK
bank,A,z,IN3520160018,73394.68533,EUR
bank,B,x,US986525UH45,46687.42621,RUB
bank,C,y,US36200MQW63,21317.52915,UYU
bank,D,z,MYQ0045OO003,70695.88814,SEK
bank,A,x,LU0238205958,54985.71944,BHD
bank,B,y,US3136ABZL02,43093.34082,BWP
bank,C,z,XS1411403022,40877.58592,JPY
bank,D,x,US463612LT61,57195.47964,RUB
bank,A,y,US38375BKG67,24181.90448,RUB
bank,B,z,IE00B0XXH155,96212.83252,CAD
bank,C,x,US31404DYQ59,1934.40722,CZK
bank,D,y,PTOTETOE0012,57566.10832,SAR
bank,A,z,US89641UAA97,42318.1732,BDT
bank,B,x,US3138LMBE27,6106.282603,SEK
bank,C,y,US33843NAJ00,75831.14875,PLN
bank,D,z,LU0874386435,88068.81336,CAD
bank,A,x,LU0820944071,26520.64294,GHS
bank,B,y,US606822AJ33,80391.26089,AED
bank,C,z,US61759HAZ01,70237.16538,BDT
bank,D,x,US31397LEA35,76056.54503,HRK
bank,A,y,US70215EAN31,10032.10653,BWP
bank,B,z,US4642875722,23837.39816,EUR
bank,C,x,US875290XK94,64209.47377,BGN
bank,D,y,US36213R7F81,58355.97486,SAR
bank,A,z,JP3590850008,2222.773555,NOK
bank,B,x,LU0266009959,76145.83167,LKR
bank,C,y,JP2400001DA2,46672.27057,PEN
bank,D,z,JP3979200007,45421.79251,THB
bank,A,x,CNE100002NN7,11796.10396,CLP
bank,B,y,US3136A2GL19,27399.58664,ARS
bank,C,z,US45660NX839,8027.60647,CHF
bank,D,x,US052476S669,36978.7517,TWD
bank,A,y,US869049AE62,80781.42776,ARS
bank,B,z,LU0099574567,67891.98908,SAR
bank,C,x,XS1611855237,81564.47481,COP
bank,D,y,US31398GM482,80731.84124,SEK
bank,A,z,USL2967VED30,65924.1892,UYU
bank,B,x,US369550AW88,87505.11601,GBP
bank,C,y,CA97375QAA37,43515.19675,LKR
bank,D,z,CA61484ZNA35,70040.90803,ZAR
bank,A,x,JP1110791GB2,9217.420433,GBP
bank,B,y,US82379XAD03,99168.50694,OMR
bank,C,z,US93363XAE31,93996.99969,PLN
bank,D,x,US31334XYY92,94388.89598,RUB
bank,A,y,US36223XPY21,26348.74786,SGD
bank,B,z,LU1311291063,68955.77264,HRK
bank,C,x,US6817936Q32,83007.17751,MXN
bank,D,y,US64985HNV59,50800.72646,SAR
bank,A,z,LU0147409378,31501.96168,CAD
bank,B,x,US254687EK88,77817.84894,HUF
bank,C,y,US64966JRV07,49908.29039,SGD
bank,D,z,LI0225414825,93647.687,ZMW
bank,A,x,US3620C0WJ30,10691.9371,PHP
bank,B,y,US849476PK61,33337.23061,EGP
bank,C,z,US31413QPC68,3775.255328,CHF
bank,D,x,FR0007476734,19348.90072,EGP
bank,A,y,US31418B5D48,48108.17118,VND
bank,B,z,INE733E07FP4,92402.83708,KRW
bank,C,x,JP3886200009,7936.206145,CAD
bank,D,y,US312927G340,43394.39701,THB
bank,A,z,CND10001MVN1,88709.21175,DOP
bank,B,x,LU0172396516,93964.84692,BGN
bank,C,y,US641461N611,81133.7709,ZAR
bank,D,z,BRFRTAACNOR8,63756.33538,JPY
bank,A,x,GB00B8P58897,85707.48638,CHF
bank,B,y,XS1338571687,92576.82829,COP
bank,C,z,DK0007301576,66459.86259,QAR
bank,D,x,US67884FZK55,93076.66655,CAD
bank,A,y,CL0000001934,70900.164,BHD
bank,B,z,US718814N445,94079.37202,GBP
bank,C,x,US36225AR518,3628.986858,DKK
bank,D,y,INE757B01015,13952.79298,THB
bank,A,z,US31416BXL79,50821.35894,QAR
bank,B,x,CRCFLUZB0223,51214.08193,MUR
bank,C,y,IT0005277444,19838.52453,CHF
bank,D,z,TW0003516001,9517.140381,SGD
bank,A,x,FR0007068960,53060.74372,SGD
bank,B,y,US31417SAA87,59333.57341,MUR
bank,C,z,IE00BGHQGS20,58817.92224,JOD
bank,D,x,US09531YAB02,89448.27932,ZMW
bank,A,y,CND1000164R9,19128.9925,OMR
bank,B,z,XS1592288606,8882.682377,RSD
bank,C,x,US31410KHC18,77471.3328,IDR
bank,D,y,US345766NE51,17216.71203,KES
bank,A,z,US02361DAU46,53109.15156,PEN
bank,B,x,US761474HR97,58145.65881,TWD
bank,C,y,US61767CAT53,26329.01049,CLP
bank,D,z,US31418TD530,91534.22034,TRY
bank,A,x,US12958RAD98,44015.96736,KES
bank,B,y,XS0207445296,39609.55204,RSD
bank,C,z,US36208TAT79,69783.27626,SEK
bank,D,x,US850272P332,11075.90534,NOK
bank,A,y,US86800NAE04,38943.8141,BRL
bank,B,z,PK0064301010,7015.607507,JPY
bank,C,x,US761118HD38,19811.13166,BHD
bank,D,y,US03846JW719,99930.36803,OMR
bank,A,z,JP3380250005,15087.61392,BDT
bank,B,x,US235825AF32,94928.6045,DOP
bank,C,y,INE712A01012,48885.96691,CNY
bank,D,z,US17302UAJ16,43005.18092,GBP
bank,A,x,SE0009921117,86689.87008,GBP
bank,B,y,US3163908227,32042.6325,CNY
bank,C,z,US650116AW62,5160.758743,MXN
bank,D,x,US3128FDNE73,98750.3662,PLN
bank,A,y,XS2124933842,90195.47253,QAR
bank,B,z,CA505443BF72,64884.94641,PEN
bank,C,x,USP75744AB11,30354.93875,PHP
bank,D,y,CNE1000000T0,9834.951668,JOD
bank,A,z,US539439AH25,36861.65651,ILS
bank,B,x,US799054HB02,55729.27285,HKD
bank,C,y,FR0013284643,39318.533,CZK
bank,D,z,US179093JH36,34132.84373,LKR
bank,A,x,US31408AMH04,89097.87585,DKK
bank,B,y,US3140GTLQ19,39870.69554,TWD
bank,C,z,US22284P1057,32703.96451,RON
bank,D,x,US6076973071,24845.52345,OMR
bank,A,y,US64971WN309,34509.00191,KWD
bank,B,z,GB00BYZCTW34,95411.88821,GBP
bank,C,x,US49446RAM16,29923.06179,ARS
bank,D,y,JP357300CJB2,81034.16633,BRL
bank,A,z,ES0000101727,27826.69732,MUR
bank,B,x,US31417KGB70,40448.19452,JPY
bank,C,y,US15504RGE36,91808.52335,SEK
bank,D,z,FI4000008313,14595.69993,EUR
bank,A,x,US3617H7ER14,83027.5035,USD
bank,B,y,IT0005199267,18580.50614,HUF
bank,C,z,US36292EQ785,53108.78738,PHP
bank,D,x,LU0223332320,56846.7756,PKR
bank,A,y,DE0001262152,48856.77685,NOK
bank,B,z,US09659X2E17,33713.22913,MYR
bank,C,x,CH0022565078,25605.21888,THB
bank,D,y,US86359BPD72,9978.999409,QAR
bank,A,z,IE0031503554,1560.613462,QAR
bank,B,x,US81879RAH12,90061.48322,BGN
bank,C,y,FR0011720911,27600.61934,SAR
bank,D,z,US025816BK48,28865.91236,CNY
bank,A,x,GB00B987KG13,44179.22759,VND
bank,B,y,XS1550975079,77343.93603,EUR
bank,C,z,CA6300001071,62400.92682,PLN
bank,D,x,IT0001203253,93381.23526,RUB
bank,A,y,US36201HKL68,61459.17237,DKK
bank,B,z,LU0245175434,81739.91582,VND
bank,C,x,SE0010949313,36493.36122,PHP
bank,D,y,JP3934800008,11745.76511,KWD
bank,A,z,KR7056190002,4680.990612,KES
bank,B,x,CA6513505066,93293.33367,MYR
bank,C,y,CH0016454719,25363.97972,THB
bank,D,z,JP3768000006,84088.93623,LKR
bank,A,x,DE000A1X3X33,73381.30969,NGN
bank,B,y,US840058UG40,35731.4727,NGN
bank,C,z,GB00B4XY5T00,51013.57412,CHF
bank,D,x,MYL9059OO006,80182.41665,ZAR
bank,A,y,CH0341830005,69332.13893,JOD
bank,B,z,US438180AH47,50612.61838,UYU
bank,C,x,US3136AXTU94,87127.47384,RSD
bank,D,y,US00653VAA98,68048.05392,RUB
bank,A,z,SE0011308386,49954.66549,TWD
bank,B,x,IE00B50L4R22,16851.84986,PKR
bank,C,y,XS1577762583,82499.9607,JPY
bank,D,z,US25714PDS48,15924.72671,PHP
bank,A,x,BE6300371273,71075.4803,DOP
bank,B,y,USU6970TAE65,58341.84005,VND
bank,C,z,US9672446A70,52902.57233,SGD
bank,D,x,US456606GV82,77071.42548,THB
bank,A,y,TW0003066007,48931.24061,BWP
bank,B,z,PLJJBEE00028,119.28603,CZK
bank,C,x,LU0325598752,85072.23669,ILS
bank,D,y,US040654VN29,64999.42725,SGD
bank,A,z,US717893C666,32202.10513,QAR
bank,B,x,CNE000001329,33610.24262,IDR
bank,C,y,US36203KKH67,32712.78333,TRY
bank,D,z,GB00BD3FVT86,18518.70136,CLP
bank,A,x,US88283LJE74,99993.15827,GBP
bank,B,y,XS0714674495,87974.31601,AED
bank,C,z,US139078CL14,5081.416761,PHP
bank,D,x,IE00BD05JC06,52399.78673,BHD
bank,A,y,US28106T2096,92474.65474,LKR
bank,B,z,US167562PE12,32922.15132,CHF
bank,C,x,US36202EWW55,12834.31688,ARS
bank,D,y,US3136A1B790,58685.86727,CNY
bank,A,z,US67910HPU85,79389.94799,MUR
bank,B,x,LI0198795739,37780.76452,VND
bank,C,y,US649907XX51,18498.25177,VND
bank,D,z,JP2231001BC7,11015.71304,GBP
bank,A,x,LU0767969719,60863.64215,HRK
bank,B,y,LU1088686438,22386.42315,UYU
bank,C,z,US126694BL16,9101.248006,JOD
bank,D,x,US00203H4204,45388.50437,BDT
bank,A,y,SE0001962978,24430.62077,BDT
bank,B,z,BRTECNACNOR6,61026.92889,CLP
bank,C,x,SE0011615772,8223.44603,CLP
bank,D,y,US3137B7KJ75,39705.19879,MUR
bank,A,z,US17275RAN26,97779.45833,PLN
bank,B,x,US64966MSX82,33985.12742,PLN
bank,C,y,KR7071970008,85190.77918,COP
bank,D,z,US065405AD41,27023.02008,JOD
bank,A,x,US45204EXP86,22806.41484,RSD
bank,B,y,GB00B88M9W85,65333.90632,SEK
bank,C,z,US3138AJ4T62,89879.92452,OMR
bank,D,x,US38376RPS93,44908.10347,PLN
bank,A,y,US16756KEK97,25275.51463,BDT
bank,B,z,IE00BYQ0FF18,24575.87865,DOP
bank,C,x,US12641QAW24,88956.77285,MAD
bank,D,y,US91523NRA62,20326.79954,NZD
bank,A,z,INE129A07222,64926.59194,INR
bank,B,x,US60416QGS75,60514.64425,CHF
bank,C,y,US83756CPB53,71636.17783,INR
bank,D,z,US59156RBP29,13863.51902,OMR
bank,A,x,US31417Y6Z52,36593.05453,KRW
bank,B,y,SE0012324044,23858.04418,BRL
bank,C,z,US31380BCC28,90042.22083,KWD
bank,D,x,US3140J5SN05,78003.00041,HUF
bank,A,y,US31358JPN53,87617.3039,BHD
bank,B,z,US3138LG6S07,93987.04883,GBP
bank,C,x,PLROCCA00013,79552.18711,KRW
bank,D,y,US92206C5739,33876.16068,THB
bank,A,z,XS0954706023,28144.7884,LKR
bank,B,x,US64990ADV44,33552.41045,LKR
bank,C,y,US875594AQ64,33097.32242,UYU
bank,D,z,US901561GG97,73433.02375,USD
bank,A,x,US67576JAB70,4947.200287,GHS
bank,B,y,XS1559435992,7928.641394,MUR
bank,C,z,US60412AEV17,80081.32295,LKR
bank,D,x,XS1776427541,74281.20995,EUR
bank,A,y,GRS503003014,83234.00388,HKD
bank,B,z,SE0012012649,44155.56509,ZMW
bank,C,x,KR354406G727,1122.57005,KWD
bank,D,y,US912803BM40,68975.22691,THB
bank,A,z,US36200NRE30,58680.56408,EGP
bank,B,x,US89640RAN98,94244.64693,BHD
bank,C,y,GB00B5968F40,57066.20984,BRL
bank,D,z,US36203RY523,81280.45776,AED
bank,A,x,US032556CQ33,85728.68192,PKR
bank,B,y,US13063DFS27,98405.93735,HUF
bank,C,z,US3138M7CD50,35221.58117,SAR
bank,D,x,US3128L53D17,83283.16032,CAD
bank,A,y,US74051E2019,79878.01774,CZK
bank,B,z,US5899292W72,23302.87232,AUD
bank,C,x,TW0005457006,96517.91768,JOD
bank,D,y,US44931VAA17,12416.03555,CLP
bank,A,z,US59563KAA88,53364.23993,PKR
bank,B,x,CH0506071239,58131.31011,CHF
bank,C,y,US36296QRP62,78756.02822,IDR
bank,D,z,US3622A2EL28,6741.140188,CNY
bank,A,x,DE0009757450,6436.174869,SAR
bank,B,y,US723664AC26,61771.1808,RSD
bank,C,z,US13067WJD56,23666.11255,DKK
bank,D,x,US31417ARG66,13037.29051,QAR
bank,A,y,PLKMPTR00012,43889.99548,CAD
bank,B,z,US31398KBZ21,72864.96057,BHD
bank,C,x,SE0004932556,94796.39282,MXN
bank,D,y,US650264TJ35,81080.04147,INR
bank,A,z,US183396PB06,20030.45111,INR
bank,B,x,US304198FK58,10766.66265,NZD
bank,C,y,US362195SW01,2346.24613,MXN
bank,D,z,XS0100064491,14878.66367,INR
bank,A,x,LU0518436737,85972.69179,PEN
bank,B,y,US559560BH98,6564.674962,HKD
bank,C,z,US13063BMZ21,81136.04745,KWD
bank,D,x,DK0060105393,25787.33636,CHF
bank,A,y,JP360020A354,14280.88952,DOP
bank,B,z,US36200FPF98,64651.90132,AUD
bank,C,x,US31384GGC33,3437.815417,JPY
bank,D,y,US547116NG40,91662.75193,INR
bank,A,z,US3952591044,27673.84319,UYU
bank,B,x,US31397KYA32,28644.57301,MYR
bank,C,y,IE0004445783,83819.47562,ILS
bank,D,z,US31407RRT31,39347.25835,UYU
bank,A,x,US67984MAA80,58467.44922,LKR
bank,B,y,US201615CY58,68400.34441,DOP
bank,C,z,GB00B0BDTV10,37023.09392,KES
bank,D,x,XS0278170765,70213.12131,CZK
bank,A,y,JP3337400000,30328.29715,NGN
bank,B,z,US74526QWE87,26687.05782,NGN
bank,C,x,US815883KH51,16239.32343,MUR
bank,D,y,US06051GHC69,97330.89615,MAD
bank,A,z,US3494603S25,65398.89812,HUF
bank,B,x,XS0943370543,51860.04782,CZK
bank,C,y,US31416BKP21,42675.51089,BDT
bank,D,z,US519804GW29,31560.62027,PKR
bank,A,x,US967338YP30,77432.58632,HKD
bank,B,y,LU1756784762,94165.09808,IDR
bank,C,z,VN000000HID6,9358.348955,MAD
bank,D,x,LBT1607850A1,4726.059637,KES
bank,A,y,US00108WAJ99,86969.43236,VND
bank,B,z,US31335GL296,31630.93229,INR
bank,C,x,US92915V3006,70977.66717,SGD
bank,D,y,FR0010045641,71014.59322,CZK
bank,A,z,US594612CC55,94316.76321,CAD
bank,B,x,US055450AH34,77636.13751,EUR
bank,C,y,US59266TLZ20,55989.62183,KWD
bank,D,z,XS1482770010,38510.80535,VND
bank,A,x,US3140GSPD86,56836.61219,HUF
bank,B,y,IE00BYPC7S51,84687.22478,ZAR
bank,C,z,FI4000210877,39337.8036,PKR
bank,D,x,IE00BDBRDM35,25684.0638,AED
bank,A,y,US12636GAC50,99417.14723,CNY
bank,B,z,LU0441851309,26109.49341,MAD
bank,C,x,US12668AXB69,9183.224546,DKK
bank,D,y,XS1084287322,11291.63178,JPY
bank,A,z,BRPALFDBS0D6,1393.203599,GHS
bank,B,x,US036510AD77,65212.61096,QAR
bank,C,y,LU1701679026,35638.00525,HRK
bank,D,z,TH6927010R16,56469.12203,TWD
bank,A,x,FR0013324340,21451.194,HUF
bank,B,y,US68275CAC29,25285.67379,AED
bank,C,z,GB00B8C2M701,27001.04626,KRW
bank,D,x,US26371GQX15,96489.97215,EGP
bank,A,y,LU0346393373,1757.201379,PEN
bank,B,z,INE742F07411,52977.23011,ARS
bank,C,x,US17401QAS03,65550.87254,TWD
bank,D,y,SE0006877817,83911.29757,EUR
bank,A,z,US45203H5F50,88481.41043,THB
bank,B,x,LU1545248780,16307.75366,CAD
bank,C,y,US3620AV3N04,18852.22126,AED
bank,D,z,SA141H01UKH9,42746.23122,CNY
bank,A,x,IE00B449S282,81755.64832,KES
bank,B,y,BMG9078F1077,61735.54957,SAR
bank,C,z,US76111XVE02,69699.24565,CZK
bank,D,x,IE00B9DPD161,90393.75494,EUR
bank,A,y,TH0824010001,7687.873842,HKD
bank,B,z,US902273TS04,45844.83267,RSD
bank,C,x,USG47567AA30,95085.70357,JPY
bank,D,y,JP3170180008,92967.56546,BRL
bank,A,z,US31398PLB30,4341.620859,CZK
bank,B,x,LU0742414682,53103.25443,SAR
bank,C,y,GRF000089000,65892.17643,LKR
bank,D,z,KR7133820001,73528.67231,OMR
bank,A,x,DK0009760407,52513.48217,ZMW
bank,B,y,JP2230001J71,46892.92711,ZAR
bank,C,z,LU1023728089,46695.13577,ARS
bank,D,x,COE26CB00219,42728.05766,SEK
bank,A,y,US3138X16C59,83176.69286,TWD
bank,B,z,US438687DG76,36862.64435,ZAR
bank,C,x,US32051GXV21,25200.41764,JPY
bank,D,y,MYBVN0800174,48245.52355,RSD
bank,A,z,US38101JAD81,38294.93089,LKR
bank,B,x,XS1847632228,86342.91492,NZD
bank,C,y,US64971WH525,53645.1668,EUR
bank,D,z,XS2050613632,27117.21277,MAD
bank,A,x,LU0861579778,55996.20919,ZAR
bank,B,y,US36207AK354,16110.47055,SAR
bank,C,z,PHY6892G1059,57999.75243,DOP
bank,D,x,US91417KUS85,76482.9022,HUF
bank,A,y,US02765UNQ30,80847.52477,KRW
bank,B,z,US3136B3J434,74407.61645,GHS
bank,C,x,LU1537446533,3449.692018,NOK
bank,D,y,INE631E01016,81585.21317,PKR
bank,A,z,US658256S861,94213.42524,SEK
bank,B,x,US38380JAD00,2866.029426,PEN
bank,C,y,US439686LE44,6580.416936,NZD
bank,D,z,XS0753361525,84478.21991,SGD
bank,A,x,AU0000053522,32875.79897,CLP
bank,B,y,SE0004446482,88788.66151,JOD
bank,C,z,US880558KG50,46831.62245,ILS
bank,D,x,XS1760409042,37664.40501,RSD
bank,A,y,US803469DV43,54191.97637,JPY
bank,B,z,US36296QY941,26500.31843,RSD
bank,C,x,IN2020130141,6053.799197,TRY
bank,D,y,US14149YBM93,36310.01952,ZMW
bank,A,z,US80412E2028,37362.21871,HRK
bank,B,x,US018444AD19,53163.46156,MXN
bank,C,y,SE0007074752,48540.36631,CAD
