industry_classification,source,sector,sector_ipr,subsector_ipr,sector_dnb,sector_boe,subsector_boe
Agriculture,BCLASS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Agriculture,NA
Air Pollution Control Eq,BICS,Other,NA,NA,E39,Other,NA
Airlines,ICB,Aviation,NA,NA,Other,Aviation,NA
Airlines,BICS,Aviation,NA,NA,Other,Aviation,NA
Airport Develop/Maint,BICS,Other,NA,NA,Other,Other,NA
Airports,BCLASS,Other,NA,NA,Other,Other,NA
Alternative Electricity,ICB,Other,NA,NA,Other,Other,NA
Alternative Fuels,ICB,Other,NA,NA,Other,Other,NA
Alternative Waste Tech,BICS,Other,NA,NA,E39,Other,NA
Aluminum,ICB,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Fossil Fuel Based
Apartment REITs,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
Apparel & Textile Products,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Apparel Manufacturers,BICS,Other,Consumer Cyclicals,Consumer Goods,C14,Other,NA
Apparel Retailers,ICB,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Appliances,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Applications Software,BICS,Other,Technology,Software and Consulting,Other,Other,NA
ARMs,BCLASS,Other,NA,NA,Other,Other,NA
Asbestos Abatement,BICS,Other,NA,NA,E39,Other,NA
Asian Pacific Ex Japan,BICS,Other,NA,NA,Other,Other,NA
Asset Backed Securities,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Asset Managers,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Ast Alloc/Islamic,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Athletic Equipment,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Athletic Footwear,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Auction House/Art Dealer,BICS,Other,NA,NA,M74,Other,NA
Audio/Video Products,BICS,Other,NA,NA,Other,Other,NA
Auto Floor Plan Other,BICS,Automotive,NA,NA,Other,Automotive,NA
Auto Floor Plan Sequent,BICS,Automotive,NA,NA,Other,Automotive,NA
Auto Loan,BCLASS,Other,Finance,Banking,Other,Other,NA
Auto Parts,ICB,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Auto Parts Manufacturing,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Auto Repair Centers,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,G45,Other,NA
Auto/Trk Prts&Equip-Orig,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,C29,Other,NA
Auto/Trk Prts&Equip-Repl,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,C29,Other,NA
Auto-Cars/Light Trucks,BICS,Automotive,Consumer Cyclicals,Consumer Vehicles and Parts,C29,Automotive,NA
Auto-Med&Heavy Duty Trks,BICS,Automotive,Consumer Cyclicals,Consumer Vehicles and Parts,H49,Automotive,NA
Automobile ABS Other,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Automobile Sequential,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Automobiles,ICB,Automotive,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Automotive,NA
Automobiles Manufacturing,BICS,Automotive,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Automotive,NA
Automotive,BCLASS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Auto-Truck Trailers,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,H49,Other,NA
B2B/E-Commerce,BICS,Other,Consumer Cyclicals,Consumer Retail,J63,Other,NA
Balanced,BICS,Other,NA,NA,Other,Other,NA
Banking,BCLASS,Other,Finance,Banking,Other,Other,NA
Banks,BICS,Other,Finance,Banking,Other,Other,NA
Banks,ICB,Other,Finance,Banking,Other,Other,NA
Batteries/Battery Sys,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Beverages-Non-alcoholic,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C11,Other,NA
Beverages-Wine/Spirits,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Bicycle Manufacturing,BICS,Other,Non-Energy Materials,Manufactured Products,C30,Other,NA
Biofuels,BICS,Other,NA,NA,Other,Other,NA
Biotechnology,ICB,Other,NA,NA,Other,Other,NA
Biotechnology,BICS,Other,NA,NA,Other,Other,NA
Bldg Prod-Air&Heating,BICS,Other,NA,NA,C27,Other,NA
Bldg Prod-Cement/Aggreg,BICS,Cement,NA,NA,Other,Cement,NA
Bldg Prod-Doors&Windows,BICS,Other,NA,NA,Other,Other,NA
Bldg Prod-Light Fixtures,BICS,Other,NA,NA,C27,Other,NA
Bldg Prod-Wood,BICS,Other,NA,NA,C16,Other,NA
Bldg&Construct Prod-Misc,BICS,Other,NA,NA,Other,Other,NA
Bldg-Mobil Home/Mfd Hous,BICS,Other,NA,NA,Other,Other,NA
Bldg-Residential/Commer,BICS,Other,NA,NA,Other,Other,NA
Blood Collection Banking,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Bloodstock Services,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Blue Chip,BICS,Other,NA,NA,Other,Other,NA
Boat Loan Other,BICS,Other,NA,NA,Other,Other,NA
Brewers,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Brewery,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C11,Other,NA
Bridges,BCLASS,Other,NA,NA,Other,Other,NA
Broadcast Serv/Program,BICS,Other,NA,NA,J60,Other,NA
Broadcasting & Entertainment,ICB,Other,NA,NA,Other,Other,NA
Broadline Retailers,ICB,Other,NA,NA,Other,Other,NA
Brokerage Assetmanagers Exchanges,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Building Materials,BCLASS,Other,NA,NA,Other,Materials,Other
Building Materials & Fixtures,ICB,Cement,NA,NA,Other,Materials,Other
Building Societies,BICS,Other,NA,NA,K64,Other,NA
Building Sub Contractors,BICS,Other,NA,NA,Other,Other,NA
Building&Construct-Misc,BICS,Other,NA,NA,F41,Other,NA
Building-Heavy Construct,BICS,Other,NA,NA,F42,Other,NA
Building-Maint&Service,BICS,Other,NA,NA,N81,Other,NA
Business Support Services,ICB,Other,Business Services,Business Services,Other,Other,NA
Business Training Employment Agency,ICB,Other,Business Services,Business Services,Other,Other,NA
Cable & Satellite,BICS,Other,NA,NA,Other,Other,NA
Cable Satellite,BCLASS,Other,NA,NA,Other,Other,NA
Cable/Satellite TV,BICS,Other,NA,NA,J60,Other,NA
Capacitors,BICS,Other,NA,NA,Other,Other,NA
Capital Goods,BCLASS,Other,NA,NA,Other,Other,NA
Capital Pools,BICS,Other,NA,NA,K64,Other,NA
Casino Hotels,BICS,Other,Consumer Services,Hospitality Services,I55,Real estate,NA
Casino Services,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Casinos & Gaming,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
CDO,BCLASS,Other,NA,NA,Other,Other,NA
Cellular Telecom,BICS,Other,NA,NA,Other,Other,NA
Central Bank,BICS,Other,NA,NA,Other,Other,NA
Ceramic Products,BICS,Other,NA,NA,Other,Other,NA
Charter Schools,BCLASS,Other,NA,NA,Other,Other,NA
Chemicals,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",Other,Other,NA
Chemicals-Diversified,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Chemicals-Fibers,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Chemicals-Other,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Chemicals-Plastics,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Chemicals-Specialty,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Circuit Boards,BICS,Other,NA,NA,Other,Other,NA
Circuits,BICS,Other,NA,NA,Other,Other,NA
Civic and Convention Centers,BCLASS,Other,NA,NA,Other,Other,NA
CLO,BCLASS,Other,NA,NA,Other,Other,NA
Closed-end Funds,BICS,Other,NA,NA,Other,Other,NA
Clothing & Accessories,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
CMBS Other,BICS,Other,NA,NA,Other,Other,NA
CMBS Subordinated,BICS,Other,NA,NA,K66,Other,NA
CMO,BCLASS,Other,NA,NA,Other,Other,NA
Coal,ICB,Coal,Energy,Upstream Energy,Other,Coal,NA
Coal,BICS,Coal,Energy,Upstream Energy,Other,Coal,NA
Coal Operations,BICS,Coal,Energy,Upstream Energy,Other,Coal,NA
Coatings/Paint,BICS,Other,Consumer Cyclicals,Consumer Goods,C20,Other,NA
Coffee,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Collectibles,BICS,Other,NA,NA,Other,Other,NA
Combined Utilities,BCLASS,Other,NA,NA,Other,Other,NA
Commer Banks Non-US,BICS,Other,Finance,Banking,K64,Other,NA
Commer Banks-Central US,BICS,Other,Finance,Banking,K64,Other,NA
Commer Banks-Eastern US,BICS,Other,Finance,Banking,K64,Other,NA
Commer Banks-Southern US,BICS,Other,Finance,Banking,K64,Other,NA
Commer Banks-Western US,BICS,Other,Finance,Banking,K64,Other,NA
Commercial Finance,BICS,Other,Finance,Banking,Other,Other,NA
Commercial Serv-Finance,BICS,Other,Finance,Specialty Finance and Services,M74,Other,NA
Commercial Services,BICS,Other,Finance,Specialty Finance and Services,M70,Other,NA
Commercial Vehicles & Trucks,ICB,Other,Consumer Cyclicals,Consumer Vehicles and Parts,Other,Other,NA
Commodity,BICS,Other,NA,NA,K64,Other,NA
Commodity Agriculture Fund,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Commodity Chemicals,ICB,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",Other,Other,NA
Commodity Energy Fund,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Commodity Industrial Metals Fund,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Commodity Precious Metals Fund,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Communications Equipment,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Communications Software,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computer Aided Design,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computer Data Security,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computer Graphics,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computer Hardware,ICB,Other,Technology,Hardware,Other,Other,NA
Computer Services,ICB,Other,Technology,Software and Consulting,Other,Other,NA
Computer Services,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computer Software,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Computers,BICS,Other,Technology,Hardware,C26,Other,NA
Computers-Integrated Sys,BICS,Other,Technology,Software and Consulting,C26,Other,NA
Computers-Memory Devices,BICS,Other,Technology,Hardware,C26,Other,NA
Computers-Other,BICS,Other,Technology,Software and Consulting,C26,Other,NA
Computers-Peripher Equip,BICS,Other,Technology,Hardware,C26,Other,NA
Computers-Voice Recogn,BICS,Other,Technology,Software and Consulting,C26,Other,NA
Construction Machinery,BCLASS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Construction Materials Manufacturing,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Consulting Services,BICS,Other,Business Services,Business Services,M69,Other,NA
Consumer Cyc Services,BCLASS,Other,Consumer Cyclicals,NA,Other,Other,NA
Consumer Electronics,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Consumer Finance,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Consumer Finance,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Consumer Products,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Consumer Products-Misc,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Consumer Services,BICS,Other,Consumer Services,NA,Other,Other,NA
Containers & Packaging,ICB,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Containers & Packaging,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Containers-Metal/Glass,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Containers-Paper/Plastic,BICS,Other,Non-Energy Materials,Manufactured Products,C22,Other,NA
Contrarian,BICS,Other,NA,NA,Other,Other,NA
Conventional 10 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Conventional 15 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Conventional 20 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Conventional 30 Yr,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Conventional Balloon,BCLASS,Other,NA,NA,Other,Other,NA
Conventional Electricity,ICB,Power,Utilities,Utilities,Other,Power,NA
Convertible,BICS,Other,NA,NA,Other,Other,NA
Cooperative Banks,BICS,Other,Finance,Banking,K64,Other,NA
Corp/Pref-High Yield,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Corp/Pref-Inv Grade,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Corporate/Preferred,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Correctional Facilities and Courts,BCLASS,Other,NA,NA,Other,Other,NA
Cosmetics&Toiletries,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Country Fund-Australia,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Austria,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Belgium,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Brazil,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Canada,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-China,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Denmark,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-France,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Germany,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-India,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Indonesia,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Italy,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Japan,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Korea,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Malaysia,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Mexico,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Netherlands,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Philippines,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Russia,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Singapore,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Spain,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Sweden,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Switzerland,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-Thailand,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-U.K.,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Country Fund-U.S.,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Credit Card,BCLASS,Other,Finance,Banking,Other,Other,NA
Credit Card Bullet,BICS,Other,Finance,Banking,Other,Other,NA
Credit Card Other,BICS,Other,Finance,Banking,Other,Other,NA
Cruise Lines,BICS,Other,Consumer Services,Hospitality Services,I55,Other,NA
Crystal&Giftware,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Currency,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Data Processing/Mgmt,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Debt/Islamic,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Decision Support Softwar,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Defense,ICB,Other,NA,NA,Other,Other,NA
Delivery Services,ICB,Other,Business Services,Business Services,Other,Other,NA
Dental Supplies&Equip,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Department Stores,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Derivative-Asset Alloc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Derivative-Asset Allocation,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Derivatives,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
"Design, Manufacturing & Distribution",BICS,Other,Business Services,Business Services,Other,Other,NA
Diagnostic Equipment,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Diagnostic Kits,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Dialysis Centers,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Diamonds & Gemstones,ICB,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Diamonds/Precious Stones,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Direct Marketing,BICS,Other,Business Services,Business Services,M73,Other,NA
Disposable Medical Prod,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Distillers & Vintners,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Distribution/Wholesale,BICS,Other,Business Services,Business Services,G46,Other,NA
Distributors,BCLASS,Other,Business Services,Business Services,Other,Other,NA
Distributors - Consumer Discretionary,BICS,Other,Business Services,Business Services,Other,Other,NA
Divers Oper/Commer Serv,BICS,Other,Business Services,Business Services,Other,Other,NA
Diversified Banking Inst,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
Diversified Banks,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Diversified Finan Serv,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Diversified Industrials,ICB,Other,Industrials,Industrial Services,Other,Other,NA
Diversified Manufact Op,BICS,Other,Industrials,Industrial Manufacturing,C32,Other,NA
Diversified Manufacturing,BCLASS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Diversified Minerals,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Diversified Operations,BICS,Other,Business Services,Business Services,Other,Other,NA
Diversified REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Drug Delivery Systems,BICS,Other,Healthcare,Healthcare Services,C21,Other,NA
Drug Detection Systems,BICS,Other,NA,NA,Other,Other,NA
Drug Retailers,ICB,Other,Healthcare,Healthcare Services,Other,Other,NA
Durable Household Products,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Eastern European,BICS,Other,NA,NA,Other,Other,NA
E-Commerce/Products,BICS,Other,Business Services,Business Services,G47,Other,NA
E-Commerce/Services,BICS,Other,Business Services,Business Services,J63,Other,NA
Economic Development,BCLASS,Other,NA,NA,Other,Other,NA
Educational Services,BICS,Other,NA,NA,Other,Other,NA
Educational Software,BICS,Other,NA,NA,Other,Other,NA
Elec & Gas Mktg & Trading,BICS,Other,NA,NA,Other,Other,NA
Electric,BCLASS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electric Products-Misc,BICS,Power,Utilities,Utilities,C27,Power,NA
Electrical Components & Equipment,ICB,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electrical Equipment Manufacturing,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electric-Distribution,BICS,Power,Utilities,Utilities,D35,Power,NA
Electric-Generation,BICS,Power,Utilities,Utilities,D35,Power,NA
Electric-Integrated,BICS,Power,Utilities,Utilities,D35,Power,NA
Electricity and Public Power,BCLASS,Power,Utilities,Utilities,Other,Power,NA
Electric-Transmission,BICS,Other,NA,NA,D35,Other,NA
Electronic Compo-Misc,BICS,Other,Technology,Electronic Components and Manufacturing,C26,Other,NA
Electronic Compo-Semicon,BICS,Other,Technology,Electronic Components and Manufacturing,C26,Other,NA
Electronic Connectors,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Electronic Design Automa,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electronic Equipment,ICB,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electronic Forms,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electronic Measur Instr,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Electronic Office Equipment,ICB,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Electronic Parts Distrib,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Electronic Secur Devices,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Electronics-Military,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
E-Marketing/Info,BICS,Other,Business Services,Business Services,M73,Other,NA
Emerg Mkt Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Emerg Mkt Eqty,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Emerging Market-Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Emerging Market-Equity,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Emerging Mkt-Asset Alloc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Energy and Environment,BCLASS,Power,Utilities,Utilities,Other,Power,NA
Energy-Alternate Sources,BICS,Other,NA,NA,Other,Other,NA
Engineering/R&D Services,BICS,Other,Industrials,Industrial Services,Other,Other,NA
Engines-Internal Combust,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Enterprise Software/Serv,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Entertainment Content,BICS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Entertainment Resources,BICS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Entertainment Software,BICS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Environ Consulting&Eng,BICS,Other,Business Services,Business Services,E39,Other,NA
Environ Monitoring&Det,BICS,Other,Business Services,Business Services,E39,Other,NA
Environmental,BCLASS,Other,NA,NA,Other,Other,NA
Environmentally Friendly,BICS,Other,NA,NA,Other,Other,NA
Eq Directional Long Bias,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Eq Directional Long/Shor,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Eq Fdmntl Mkt Neut,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Eq Statistical Arb,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Equity Investment Instruments,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Equity/Islamic,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
E-Services/Consulting,BICS,Other,Business Services,Business Services,Other,Other,NA
Event Driven-Distressed,BICS,Other,NA,NA,Other,Other,NA
Event Driven-Merger Arbi,BICS,Other,NA,NA,Other,Other,NA
Exploration & Production,ICB,Oil&Gas,Energy,Upstream Energy,Other,Oil&Gas,NA
Exploration & Production,BICS,Oil&Gas,Energy,Upstream Energy,Other,Oil&Gas,NA
Explosives,BICS,Other,NA,NA,C20,Other,NA
Export/Import Bank,BICS,Other,Finance,Banking,Other,Other,NA
Extended Serv Contracts,BICS,Other,Business Services,Business Services,K65,Other,NA
Farming,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Agriculture,NA
"Farming, Fishing & Plantations",ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Agriculture,NA
Feminine Health Care Prd,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
FGLMC FHAVA,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Other,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Relocation 15yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Relocation 30yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Single Family 15yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Single Family 20yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FGLMC Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
FHLMC ARM,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FHLMC FHAVA,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FHLMC Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FI Directional-Asset Bac,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
FI Directional-Fixed Inc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
