MarketValue,Currency,ISIN
375816,CHF,AU000000CUV3
2481606,CHF,AU000000CWN6
206559,CHF,AU000000CWP1
1471076,CHF,AU000000CWY3
119755,CHF,AU000000DDR5
319481,CHF,AU000000DHG9
1145091,CHF,AU000000DMP0
1823544,CHF,AU000000DOW2
4626361,CHF,AU000000DXS1
174693,CHF,AU000000EHE2
193259,CHF,AU000000EHL7
268309,CHF,AU000000ELD6
332346,CHF,AU000000EML7
2155728,CHF,AU000000EVN4
683061,CHF,AU000000FLT9
10135825,CHF,AU000000FMG4
249176,CHF,AU000000FNP3
200611,CHF,AU000000FXL1
295096,CHF,AU000000GDI7
293337,CHF,AU000000GEM7
324670,CHF,AU000000GMA5
8534508,CHF,AU000000GMG2
623495,CHF,AU000000GNC9
317419,CHF,AU000000GOR5
400431,CHF,AU000000GOZ8
4206246,CHF,AU000000GPT8
361016,CHF,AU000000GUD2
245031,CHF,AU000000GWA4
128967,CHF,AU000000GXY2
222554,CHF,AU000000HSN3
161015,CHF,AU000000HT18
223690,CHF,AU000000HUB4
1400152,CHF,AU000000HVN7
5507993,CHF,AU000000IAG3
908048,CHF,AU000000IEL5
893048,CHF,AU000000IFL2
214070,CHF,AU000000IFN8
1186374,CHF,AU000000IGO4
1492358,CHF,AU000000ILU1
264316,CHF,AU000000IMF0
326804,CHF,AU000000INA9
367240,CHF,AU000000ING6
591627,CHF,AU000000IPH9
937666,CHF,AU000000IPL1
825119,CHF,AU000000IRE2
137131,CHF,AU000000IRI3
571470,CHF,AU000000IVC8
1584677,CHF,AU000000JBH7
2532896,CHF,AU000000JHX1
215540,CHF,AU000000JIN0
145474,CHF,AU000000KGN2
1844039,CHF,AU000000LLC3
1163135,CHF,AU000000LNK2
295670,CHF,AU000000LOV7
534629,CHF,AU000000LYC6
2961293,CHF,AU000000MFG4
5642544,CHF,AU000000MGR9
135677,CHF,AU000000MGX7
1031845,CHF,AU000000MIN4
351435,CHF,AU000000MMS5
561608,CHF,AU000000MND5
95750,CHF,AU000000MOE1
381131,CHF,AU000000MP15
3862149,CHF,AU000000MPL3
10562599,CHF,AU000000MQG1
277833,CHF,AU000000MSB8
851198,CHF,AU000000MTS0
138199,CHF,AU000000MYR2
233928,CHF,AU000000MYX0
23099436,CHF,AU000000NAB4
673300,CHF,AU000000NAN9
6450407,CHF,AU000000NCM7
347195,CHF,AU000000NEA8
1058815,CHF,AU000000NEC4
122778,CHF,AU000000NGI6
1039296,CHF,AU000000NHF0
531702,CHF,AU000000NSR2
2708962,CHF,AU000000NST8
623878,CHF,AU000000NUF3
428821,CHF,AU000000NWH5
262225,CHF,AU000000NWL7
781387,CHF,AU000000NXT8
291741,CHF,AU000000OML6
1404584,CHF,AU000000ORA8
209843,CHF,AU000000ORE0
3488775,CHF,AU000000ORG5
2100819,CHF,AU000000ORI1
1278850,CHF,AU000000OZL8
268034,CHF,AU000000PGH3
141785,CHF,AU000000PLS0
332662,CHF,AU000000PME8
669184,CHF,AU000000PMV2
153861,CHF,AU000000PNI7
313349,CHF,AU000000PNV0
685794,CHF,AU000000PPT9
369768,CHF,AU000000PRU3
484376,CHF,AU000000PTM6
1536178,CHF,AU000000QAN2
7461290,CHF,AU000000QBE9
1744460,CHF,AU000000QUB5
1458015,CHF,AU000000REA9
119020,CHF,AU000000REG6
211426,CHF,AU000000RFF5
6236680,CHF,AU000000RHC8
8641287,CHF,AU000000RIO1
186564,CHF,AU000000RMS4
847059,CHF,AU000000RRL8
359863,CHF,AU000000RSG6
1166127,CHF,AU000000RWC7
7717708,CHF,AU000000S320
977393,CHF,AU000000SAR9
708993,CHF,AU000000SBM8
6189650,CHF,AU000000SCG8
900009,CHF,AU000000SCP9
1000336,CHF,AU000000SDF8
1421393,CHF,AU000000SEK6
359666,CHF,AU000000SFR8
91411,CHF,AU000000SGF1
700125,CHF,AU000000SGM7
4169503,CHF,AU000000SGP0
1387732,CHF,AU000000SGR6
11386004,CHF,AU000000SHL7
299986,CHF,AU000000SHV6
230938,CHF,AU000000SIG5
316390,CHF,AU000000SIQ4
1283554,CHF,AU000000SKI7
390679,CHF,AU000000SLR6
326664,CHF,AU000000SSM2
4100834,CHF,AU000000STO6
529445,CHF,AU000000SUL0
5239375,CHF,AU000000SUN6
962319,CHF,AU000000SVW5
109434,CHF,AU000000SWM4
232412,CHF,AU000000SXL4
163869,CHF,AU000000SXY7
4051637,CHF,AU000000SYD9
2332224,CHF,AU000000TAH8
9788536,CHF,AU000000TCL6
322884,CHF,AU000000TGR4
6392872,CHF,AU000000TLS2
757840,CHF,AU000000TNE8
550065,CHF,AU000000TPM6
2178385,CHF,AU000000TWE9
3181643,CHF,AU000000VCX7
659547,CHF,AU000000VOC6
149773,CHF,AU000000VRL0
154225,CHF,AU000000VRT3
477243,CHF,AU000000VVR9
26869051,CHF,AU000000WBC1
561649,CHF,AU000000WEB7
10957974,CHF,AU000000WES1
289090,CHF,AU000000WGX6
963117,CHF,AU000000WOR2
10589656,CHF,AU000000WOW2
11107819,CHF,AU000000WPL2
75578,CHF,AU000000WPP3
310373,CHF,AU000000WSA9
634284,CHF,AU000000WTC3
244337,CHF,AU000000Z1P6
2322123,CHF,AU0000013559
748638,CHF,AU0000016875
153680,CHF,AU0000026122
207751,CHF,AU0000027484
287358,CHF,AU0000030645
6031026,CHF,AU0000030678
520635,CHF,AU0000033359
50633,CHF,AU0000040057
380123,CHF,AU0000061897
1842952,CHF,BE0002251206
887664,CHF,BE0002266352
4500268,CHF,BE0002485606
1965032,CHF,BE0002629104
1351773,CHF,BE0002631126
1262412,CHF,BE0003470755
140570,CHF,BE0003555639
2506770,CHF,BE0003565737
792989,CHF,BE0003593044
56084,CHF,BE0003656676
182767,CHF,BE0003678894
201036,CHF,BE0003699130
789463,CHF,BE0003717312
57910,CHF,BE0003720340
73464,CHF,BE0003735496
3459047,CHF,BE0003739530
37148,CHF,BE0003746600
244457,CHF,BE0003755692
670496,CHF,BE0003763779
818928,CHF,BE0003764785
35067,CHF,BE0003766806
559649,CHF,BE0003790079
3948218,CHF,BE0003797140
53048,CHF,BE0003808251
2848963,CHF,BE0003810273
532168,CHF,BE0003816338
892262,CHF,BE0003818359
686977,CHF,BE0003822393
388065,CHF,BE0003826436
18038,CHF,BE0003839561
810007,CHF,BE0003851681
85403,CHF,BE0003853703
480837,CHF,BE0003867844
349563,CHF,BE0003874915
175777,CHF,BE0003883031
242987,CHF,BE0165385973
2147863,CHF,BE0974256852
266473,CHF,BE0974258874
373224,CHF,BE0974259880
3205512,CHF,BE0974264930
277332,CHF,BE0974268972
134360,CHF,BE0974274061
401867,CHF,BE0974276082
87903,CHF,BE0974281132
6092241,CHF,BE0974293251
25451,CHF,BE0974310428
1060262,CHF,BE0974320526
406636,CHF,BE0974338700
8741972,CHF,BE6265142099
6545832,CHF,BE6276040431
5920643,CHF,BE6285455497
6028550,CHF,BE6285457519
6375093,CHF,BE6301510028
1546917,CHF,BE6305977074
1484006,CHF,BE6312821612
1476608,CHF,BE6315719490
3214428,CHF,BE6317283610
129660,CHF,BMG0129K1045
56793,CHF,BMG0135Z1032
1058104,CHF,BMG0171K1018
675936,CHF,BMG0171W1055
3068050,CHF,BMG0450A1053
553475,CHF,BMG0464B1072
530318,CHF,BMG0585R1060
822297,CHF,BMG0684D1074
633952,CHF,BMG0692U1099
584400,CHF,BMG0750C1082
653321,CHF,BMG0957L1090
52686,CHF,BMG095871098
2709943,CHF,BMG1368B1028
167992,CHF,BMG1466R2078
555669,CHF,BMG169621056
218470,CHF,BMG173841013
341793,CHF,BMG1738J1247
445070,CHF,BMG1744V1037
130560,CHF,BMG200452024
62905,CHF,BMG202981087
65728,CHF,BMG210821051
279880,CHF,BMG2108M2182
347628,CHF,BMG2108V1019
486892,CHF,BMG210901242
2768140,CHF,BMG2109G1033
397944,CHF,BMG210A71016
2393596,CHF,BMG2113B1081
478361,CHF,BMG2113J1018
202315,CHF,BMG2113M1203
68558,CHF,BMG2116Y1057
267091,CHF,BMG2154F1095
176216,CHF,BMG2155Y1075
3558474,CHF,BMG2178K1009
103076,CHF,BMG2233G1024
298466,CHF,BMG2345T1099
1666664,CHF,BMG2442N1048
3815842,CHF,BMG2519Y1084
125272,CHF,BMG2581C1091
709406,CHF,BMG2624N1535
300989,CHF,BMG2759B1072
102480,CHF,BMG2R28T1049
143621,CHF,BMG3036C2239
155042,CHF,BMG3075P1014
179917,CHF,BMG3122U1457
443233,CHF,BMG3198U1027
4193544,CHF,BMG3223R1088
105003,CHF,BMG3305Y1619
448557,CHF,BMG348041077
33387,CHF,BMG359472021
206267,CHF,BMG3682E1921
37426,CHF,BMG3775G1380
561692,CHF,BMG3911S1035
188444,CHF,BMG396372051
896502,CHF,BMG3978C1249
58047,CHF,BMG4209G2077
1075495,CHF,BMG423131256
384963,CHF,BMG4232X1020
850651,CHF,BMG4388N1065
200412,CHF,BMG4404N1065
348973,CHF,BMG4512G1261
55242,CHF,BMG4516H1795
84753,CHF,BMG454221059
1809186,CHF,BMG4587L1090
1161659,CHF,BMG4593F1389
276529,CHF,BMG4639H1227
40467,CHF,BMG4643R1088
2019092,CHF,BMG475671050
540575,CHF,BMG491BT1088
57635,CHF,BMG4977W1038
79652,CHF,BMG5005R1079
7518039,CHF,BMG507361001
4557590,CHF,BMG507641022
401903,CHF,BMG5150J1577
565366,CHF,BMG524181036
1957849,CHF,BMG524401079
1179946,CHF,BMG5320C1082
387077,CHF,BMG5321P1169
320503,CHF,BMG5361W1047
66537,CHF,BMG5369T1788
371576,CHF,BMG5485F1692
555219,CHF,BMG5695X1258
532725,CHF,BMG570071099
331331,CHF,BMG578481068
583523,CHF,BMG5800U1071
1115141,CHF,BMG5876H1051
69749,CHF,BMG6359F1032
68338,CHF,BMG6469T1009
1390157,CHF,BMG653181005
35290,CHF,BMG6624L1090
1945992,CHF,BMG667211046
1028169,CHF,BMG668971101
497719,CHF,BMG684371393
35458,CHF,BMG6889V1072
193924,CHF,BMG6901M1010
277612,CHF,BMG6955J1036
515145,CHF,BMG7208D1092
90872,CHF,BMG7403L1046
52614,CHF,BMG7475M1626
3698374,CHF,BMG7496G1033
347171,CHF,BMG760581097
675812,CHF,BMG8063F1068
211432,CHF,BMG8065B1037
1287223,CHF,BMG8086V1467
48916,CHF,BMG8114Z1014
178331,CHF,BMG812761002
364997,CHF,BMG8162K1137
396218,CHF,BMG8165U1009
481515,CHF,BMG8181C1001
136457,CHF,BMG8219Z1059
248588,CHF,BMG8220B1476
113469,CHF,BMG8226U1071
238465,CHF,BMG8229F1150
219450,CHF,BMG8403G1033
72776,CHF,BMG850801025
81072,CHF,BMG8770Z1068
69364,CHF,BMG8827U1009
225112,CHF,BMG9001E1286
123829,CHF,BMG9078F1077
830625,CHF,BMG9400S1329
325141,CHF,BMG9618E1075
2259173,CHF,BMG988031446
773400,CHF,BMG9880L1028
202785,CHF,BMG9908J1053
86556,CHF,BRAALRACNOR6
152410,CHF,BRABCBACNPR4
5452348,CHF,BRABEVACNOR1
1319471,CHF,BRALPAACNPR7
982045,CHF,BRALSOACNOR5
752755,CHF,BRALUPCDAM15
114764,CHF,BRAMARACNOR4
89639,CHF,BRANIMACNOR6
536135,CHF,BRARZZACNOR3
2888621,CHF,BRAZULACNPR4
5490344,CHF,BRB3SAACNOR6
2857955,CHF,BRBBASACNOR3
2581261,CHF,BRBBDCACNOR1
8995710,CHF,BRBBDCACNPR8
3499233,CHF,BRBBSEACNOR5
151452,CHF,BRBEEFACNOR6
22647,CHF,BRBIDIACNPR0
573343,CHF,BRBIDICDAXX3
577453,CHF,BRBKBRACNOR4
1053752,CHF,BRBPACUNT006
1643002,CHF,BRBRAPACNPR2
2396752,CHF,BRBRDTACNOR1
1232633,CHF,BRBRFSACNOR8
380697,CHF,BRBRKMACNPA4
924733,CHF,BRBRMLACNOR9
241555,CHF,BRBRPRACNOR9
780179,CHF,BRBRSRACNPB4
815874,CHF,BRBTOWACNOR8
86322,CHF,BRCAMLACNOR3
1456266,CHF,BRCCROACNOR2
1038736,CHF,BRCESPACNPB4
657111,CHF,BRCIELACNOR3
822179,CHF,BRCMIGACNPR3
188849,CHF,BRCNTOACNOR5
2967555,CHF,BRCOGNACNOR2
1289461,CHF,BRCPLEACNPB9
476648,CHF,BRCRFBACNOR2
738358,CHF,BRCSANACNOR6
797056,CHF,BRCSMGACNOR5
554716,CHF,BRCSNAACNOR6
1080719,CHF,BRCVCBACNOR1
1477289,CHF,BRCYREACNOR7
29864,CHF,BRDMMOACNOR0
965347,CHF,BRDTEXACNOR3
650952,CHF,BRECORACNOR8
1223550,CHF,BREGIEACNOR9
554145,CHF,BRELETACNOR6
542121,CHF,BRELETACNPB7
1714014,CHF,BREMBRACNOR4
123249,CHF,BRENATACNOR0
1292517,CHF,BRENBRACNOR2
933920,CHF,BRENEVACNOR8
476775,CHF,BRENGICDAM16
2806110,CHF,BREQTLACNOR0
156193,CHF,BREVENACNOR8
825079,CHF,BREZTCACNOR0
76588,CHF,BRFESAACNPR5
1216297,CHF,BRFLRYACNOR5
1271360,CHF,BRGGBRACNPR8
1828410,CHF,BRGNDIACNOR2
1182400,CHF,BRGOAUACNPR8
669706,CHF,BRGOLLACNPR4
636735,CHF,BRGRNDACNOR3
469532,CHF,BRGUARACNOR4
1695107,CHF,BRHAPVACNOR4
880872,CHF,BRHGTXACNOR9
3424124,CHF,BRHYPEACNOR0
955062,CHF,BRIGTAACNOR5
1705494,CHF,BRIRBRACNOR4
4155112,CHF,BRITSAACNPR7
11641269,CHF,BRITUBACNPR1
7465367,CHF,BRJBSSACNOR8
154128,CHF,BRJHSFACNOR2
148859,CHF,BRJSLGACNOR2
819905,CHF,BRKLBNCDAM18
1124529,CHF,BRLAMEACNPR6
1300548,CHF,BRLCAMACNOR3
103992,CHF,BRLEVEACNOR2
922562,CHF,BRLIGTACNOR2
1021457,CHF,BRLINXACNOR0
151729,CHF,BRLOGGACNOR7
3294764,CHF,BRLRENACNOR1
485579,CHF,BRMDIAACNOR7
3467883,CHF,BRMGLUACNOR2
460324,CHF,BRMOVIACNOR0
615311,CHF,BRMRFGACNOR0
1412569,CHF,BRMRVEACNOR2
602252,CHF,BRMULTACNOR5
531852,CHF,BRMYPKACNOR7
988100,CHF,BRNTCOACNOR5
828629,CHF,BRODPVACNOR4
152882,CHF,BROMGEACNOR0
123186,CHF,BRPARDACNOR1
903617,CHF,BRPCARACNPR0
6269148,CHF,BRPETRACNOR9
7454152,CHF,BRPETRACNPR6
493655,CHF,BRPOMOACNPR7
714651,CHF,BRPRIOACNOR1
378100,CHF,BRPSSAACNOR7
1536859,CHF,BRQUALACNOR6
1594792,CHF,BRRADLACNOR0
2342113,CHF,BRRAILACNOR9
481592,CHF,BRRAPTACNPR4
1701471,CHF,BRRENTACNOR4
575708,CHF,BRRLOGACNOR4
1313832,CHF,BRSANBCDAM13
148680,CHF,BRSAPRACNPR6
1152339,CHF,BRSAPRCDAM13
1224574,CHF,BRSBSPACNOR5
325985,CHF,BRSEERACNOR5
489531,CHF,BRSLCEACNOR2
466985,CHF,BRSMLSACNOR1
791965,CHF,BRSMTOACNOR3
427492,CHF,BRSTBPACNOR3
956342,CHF,BRSULACDAM12
1279811,CHF,BRSUZBACNOR0
1313496,CHF,BRTAEECDAM10
170057,CHF,BRTENDACNOR4
87913,CHF,BRTGMAACNOR7
528523,CHF,BRTIETCDAM15
1764711,CHF,BRTIMPACNOR1
1775343,CHF,BRTOTSACNOR8
107545,CHF,BRTRISACNOR4
129113,CHF,BRTUPYACNOR1
1111307,CHF,BRUGPAACNOR8
153871,CHF,BRUNIPACNPB8
10485365,CHF,BRVALEACNOR0
5375856,CHF,BRVIVTACNPR7
69983,CHF,BRVULCACNOR2
1917425,CHF,BRVVARACNOR1
1764029,CHF,BRWEGEACNOR0
97891,CHF,BRWIZSACNOR1
2260555,CHF,BRYDUQACNOR3
50042,CHF,CA0011811068
417243,CHF,CA0019401052
295752,CHF,CA00208D4084
136922,CHF,CA00765F1018
5855457,CHF,CA0084741085
998214,CHF,CA0089118776
496725,CHF,CA0106791084
176681,CHF,CA0115321089
61657,CHF,CA01163Q4007
798542,CHF,CA0158571053
1503600,CHF,CA01626P4033
488880,CHF,CA0194561027
459784,CHF,CA0213611001
360853,CHF,CA02215R1073
180166,CHF,CA03765K1049
71996,CHF,CA04045U1021
190568,CHF,CA04315L1058
423951,CHF,CA0467894006
118912,CHF,CA05156V1022
164625,CHF,CA05156X1087
2631322,CHF,CA05534B7604
131650,CHF,CA05577W2004
347271,CHF,CA05651W2094
97974,CHF,CA0585861085
4810255,CHF,CA0636711016
6621053,CHF,CA0641491075
7551401,CHF,CA0679011084
1348675,CHF,CA0717341071
56484,CHF,CA07317Q1054
33357,CHF,CA0906971035
332526,CHF,CA09228F1036
316162,CHF,CA0966311064
198901,CHF,CA0977512007
371485,CHF,CA09950M3003
2836736,CHF,CA1125851040
269290,CHF,CA11777Q2099
604299,CHF,CA1247651088
530011,CHF,CA1249003098
3509066,CHF,CA12532H1047
359371,CHF,CA1254911003
59657,CHF,CA1348011091
650664,CHF,CA1349211054
110580,CHF,CA1350861060
2489651,CHF,CA1360691010
3528222,CHF,CA1363751027
4160283,CHF,CA1363851017
2084861,CHF,CA13645T1003
830589,CHF,CA1366812024
392685,CHF,CA1367178326
159934,CHF,CA13677F1018
177413,CHF,CA1375761048
31870,CHF,CA1375842079
425679,CHF,CA1380351009
236263,CHF,CA14042M1023
42333,CHF,CA1469001053
74200,CHF,CA15101Q1081
1404452,CHF,CA15135U1093
124935,CHF,CA1520061021
36373,CHF,CA15713J1049
64079,CHF,CA16890P1036
123380,CHF,CA1724541000
106342,CHF,CA19239C1068
237965,CHF,CA1946931070
48603,CHF,CA2052491057
1143313,CHF,CA21037X1006
61525,CHF,CA2208741017
136064,CHF,CA22163N1069
353246,CHF,CA22576C1014
130811,CHF,CA22717L1013
244399,CHF,CA2499061083
237257,CHF,CA2506691088
106484,CHF,CA25490H1064
778697,CHF,CA25675T1075
419620,CHF,CA2849025093
508781,CHF,CA2861812014
713158,CHF,CA2908761018
880272,CHF,CA2918434077
917376,CHF,CA2925051047
4578156,CHF,CA29250N1050
62843,CHF,CA29269R1055
121343,CHF,CA2927661025
116354,CHF,CA2929491041
25569,CHF,CA2935701078
73981,CHF,CA2945051027
2553084,CHF,CA3039011026
430718,CHF,CA3180714048
472739,CHF,CA31890B1031
607932,CHF,CA32076V1031
1151370,CHF,CA3359341052
235437,CHF,CA33767E2024
1093546,CHF,CA3495531079
263462,CHF,CA3499151080
7831917,CHF,CA3518581051
165530,CHF,CA3565001086
134080,CHF,CA37252B1022
214744,CHF,CA3748252069
602310,CHF,CA3759161035
387563,CHF,CA3874371147
142156,CHF,CA3899141020
2507092,CHF,CA39138C1068
312608,CHF,CA4039254079
23814,CHF,CA4283041099
493735,CHF,CA4369131079
70295,CHF,CA4436281022
477132,CHF,CA4480551031
1058218,CHF,CA4488112083
370981,CHF,CA4495861060
582248,CHF,CA45075E1043
118040,CHF,CA4509131088
90667,CHF,CA45245E1097
903476,CHF,CA4530384086
114206,CHF,CA45790B1040
3857337,CHF,CA45823T1066
599396,CHF,CA45833V1094
230545,CHF,CA45868C1095
59995,CHF,CA4609191032
143759,CHF,CA46579R1047
79512,CHF,CA48213W1014
46335,CHF,CA4882951060
435941,CHF,CA4932711001
311029,CHF,CA49410M1023
496913,CHF,CA49448Q1090
3133664,CHF,CA4969024047
1244365,CHF,CA49741E1007
133104,CHF,CA4990531069
89131,CHF,CA5054401073
314496,CHF,CA51925D1069
210002,CHF,CA53278L1076
93915,CHF,CA5359194019
244191,CHF,CA5359195008
1822578,CHF,CA5394811015
15823,CHF,CA54928Q1081
825074,CHF,CA5503721063
103268,CHF,CA5527041084
120458,CHF,CA55378N1078
4284441,CHF,CA5592224011
34711,CHF,CA5609091031
135417,CHF,CA5649051078
4088030,CHF,CA56501R1064
80893,CHF,CA5734591046
149009,CHF,CA5753851099
243797,CHF,CA59151K1084
1595014,CHF,CA59162N1096
108248,CHF,CA61767W1041
59892,CHF,CA6252841045
250274,CHF,CA62910L1022
952125,CHF,CA6330671034
122068,CHF,CA6445351068
298067,CHF,CA65548P4033
241374,CHF,CA6632782083
199481,CHF,CA6665111002
320275,CHF,CA6671851021
205694,CHF,CA6674951059
165692,CHF,CA66987E2069
222409,CHF,CA67000B1040
32924,CHF,CA67072Q1046
1389656,CHF,CA67077M1086
298838,CHF,CA6752221037
663737,CHF,CA68272K1030
1547221,CHF,CA6837151068
302690,CHF,CA68827L1013
908949,CHF,CA6979001089
68551,CHF,CA6993202069
693806,CHF,CA69946Q1046
365396,CHF,CA70137T1057
63351,CHF,CA7029251088
1153100,CHF,CA7063271034
82335,CHF,CA7170461064
1042317,CHF,CA7392391016
1083658,CHF,CA73927C1005
261909,CHF,CA7397211086
34466,CHF,CA74022D3085
109520,CHF,CA74051D1042
138906,CHF,CA74061A1084
128192,CHF,CA74139C1023
138437,CHF,CA7481932084
817147,CHF,CA76131D1033
83266,CHF,CA76329W1032
257961,CHF,CA7669101031
774135,CHF,CA7677441056
5031298,CHF,CA7751092007
158100,CHF,CA77519R1029
7453581,CHF,CA7800871021
79946,CHF,CA7819036046
519432,CHF,CA78460T1057
171752,CHF,CA7847301032
118425,CHF,CA80013R2063
421533,CHF,CA8029121057
49556,CHF,CA81373C1023
54652,CHF,CA8169221089
245896,CHF,CA81783Q1054
3611656,CHF,CA82028K2002
52538,CHF,CA8204391079
2381143,CHF,CA82509L1076
62820,CHF,CA82621K1021
22242,CHF,CA8265161064
436674,CHF,CA82835P1036
144293,CHF,CA83125J1049
141678,CHF,CA83179X1087
235882,CHF,CA85472N1096
869563,CHF,CA85570W1005
109299,CHF,CA85853F1053
2366793,CHF,CA8667961053
5282475,CHF,CA8672241079
418322,CHF,CA86828P1036
642168,CHF,CA87241L1094
273497,CHF,CA87262K1057
2763129,CHF,CA87807B1076
2174267,CHF,CA8787422044
86733,CHF,CA87971M1032
3250490,CHF,CA87971M9969
1823625,CHF,CA8849037095
94700,CHF,CA88709B1040
94530,CHF,CA8910546032
538729,CHF,CA8911021050
9201446,CHF,CA8911605092
31181,CHF,CA89154B1022
646950,CHF,CA89156V1067
95545,CHF,CA8934631091
146774,CHF,CA89346D1078
59041,CHF,CA8935781044
88850,CHF,CA89612W1023
118054,CHF,CA9004351081
129845,CHF,CA90457D1006
68759,CHF,CA9170171057
290992,CHF,CA9237251058
339084,CHF,CA92938W2022
5964607,CHF,CA94106B1013
458879,CHF,CA9528451052
1007172,CHF,CA9611485090
105679,CHF,CA96145A2002
3023632,CHF,CA9628791027
130182,CHF,CA96467A2002
283957,CHF,CA97535P1045
544567,CHF,CA98462Y1007
1996872,CHF,CH0000816824
3120120,CHF,CH0001503199
3449347,CHF,CH0001752309
784620,CHF,CH0002088976
1876271,CHF,CH0002178181
1904239,CHF,CH0002432174
11876480,CHF,CH0002497458
1455184,CHF,CH0003541510
356298,CHF,CH0003671440
550240,CHF,CH0006227612
1189725,CHF,CH0006372897
445212,CHF,CH0008012236
7248882,CHF,CH0008038389
11147512,CHF,CH0008742519
1011500,CHF,CH0008805449
2436169,CHF,CH0008837566
5501074,CHF,CH0009002962
101661,CHF,CH0009320091
7438500,CHF,CH0010570759
6883740,CHF,CH0010570767
23693327,CHF,CH0010645932
369140,CHF,CH0010675863
758371,CHF,CH0010702154
1058038,CHF,CH0010754924
1128927,CHF,CH0011029946
50063191,CHF,CH0011075394
1629737,CHF,CH0011108872
193678,CHF,CH0011178255
311055,CHF,CH0011339204
470381,CHF,CH0011432447
1011373,CHF,CH0011484067
1877368,CHF,CH0011795959
166764221,CHF,CH0012005267
186458224,CHF,CH0012032048
2766512,CHF,CH0012100191
28299789,CHF,CH0012138530
8028391,CHF,CH0012138605
3643812,CHF,CH0012142631
22318526,CHF,CH0012214059
36322636,CHF,CH0012221716
2300625,CHF,CH0012255144
6610680,CHF,CH0012255151
187525,CHF,CH0012268360
8331206,CHF,CH0012280076
1872513,CHF,CH0012335540
7258650,CHF,CH0012410517
8513477,CHF,CH0012453913
694897,CHF,CH0012530207
